"","FG0_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","AL0_hpft","I0_hpft","CF0_hpft","FG0_hpft","SA0_hpft","P0_hpft","Y0_hpft","I0_hpft","V0_hpft","TA0_hpft"
"2018-02-02",1449.86307500184,52918.4313197115,3784.37997894899,62.0993361752337,52918.4313197115,3784.37997894899,62.0993361752337,14770.4895683159,495.455315421215,15406.2731025435,1449.86307500184,NA,5241.64166058628,5808.64423948206,495.455315421215,6652.72691698815,5539.16037199983
"2018-02-05",1449.80745981772,52900.4463427691,3783.58729614265,62.2035756954786,52900.4463427691,3783.58729614265,62.2035756954786,14760.9790227509,495.192698179346,15415.9568300425,1449.80745981772,NA,5237.95952773114,5806.61974850863,495.192698179346,6653.48074298376,5542.94744351115
"2018-02-06",1449.73756440943,52882.0020973475,3782.78180243047,62.307227849456,52882.0020973475,3782.78180243047,62.307227849456,14751.6008084275,494.921967366033,15425.8220177417,1449.73756440943,NA,5234.27233829848,5804.63502880006,494.921967366033,6654.26562156905,5546.75614302232
"2018-02-07",1449.65366595354,52863.1139533107,3781.9650374062,62.4103041904713,52863.1139533107,3781.9650374062,62.4103041904713,14742.3581856364,494.643281246587,15435.8689673213,1449.65366595354,NA,5230.58044457639,5802.69001178611,494.643281246587,6655.0822765051,5550.58814921241
"2018-02-08",1449.55605496259,52843.7973003646,3781.1386068914,62.5128169384835,52843.7973003646,3781.1386068914,62.5128169384835,14733.254161857,494.356808865933,15446.0978251113,1449.55605496259,NA,5226.88414583037,5800.78454430862,494.356808865933,6655.93146905877,5554.44518426396
"2018-02-09",1449.44503779997,52824.0675393286,3780.30418079279,62.6147780322438,52824.0675393286,3780.30418079279,62.6147780322438,14724.2915575822,494.062732437271,15456.5085800057,1449.44503779997,NA,5223.1836964431,5798.9184026532,494.062732437271,6656.81401626657,5558.32900897229
"2018-02-12",1449.32092762637,52803.9397718323,3779.46349055046,62.7161985454139,52803.9397718323,3779.46349055046,62.7161985454139,14715.4730100811,493.76124642712,15467.101013765,1449.32092762637,NA,5219.47931074928,5797.09129664344,493.76124642712,6657.73077611587,5562.24141536394
"2018-02-13",1449.18403824521,52783.4285769905,3778.6183150151,62.8170880781214,52783.4285769905,3778.6183150151,62.8170880781214,14706.800968838,493.452557470164,15477.8746698446,1449.18403824521,NA,5215.77116043156,5795.30286214529,493.452557470164,6658.68263064594,5566.18421351745
"2018-02-14",1449.03468043372,52762.5480817289,3777.77049030284,62.9174548514435,52762.5480817289,3777.77049030284,62.9174548514435,14698.2777549988,493.136884287236,15488.8288510823,1449.03468043372,NA,5212.05940581382,5793.55267174311,493.136884287236,6659.67045456677,5570.15922746559
"2018-02-22",1448.87316365297,52741.3121470044,3776.92191138467,63.508995354244,52741.3121470044,3776.92191138467,63.508995354244,14689.9055546238,492.814460293039,15499.9626069781,1448.87316365297,NA,5208.34418995337,5791.84023795858,492.814460293039,6660.69510866531,5574.16829935297
"2018-02-23",1448.69980231007,52719.7346451214,3776.07453781057,63.6058480950078,52719.7346451214,3776.07453781057,63.6058480950078,14681.686308536,492.485538066934,15511.2747436343,1448.69980231007,NA,5204.62562612109,5790.16500736094,492.485538066934,6661.75740219473,5578.21329605996
"2018-02-26",1448.51490962441,52697.8294519764,3775.23036595185,63.7022120528316,52697.8294519764,3775.23036595185,63.7022120528316,14673.6217240491,492.150389072826,15522.7638522211,1448.51490962441,NA,5200.90380347072,5788.52637119513,492.150389072826,6662.85809245096,5582.29613813408
"2018-02-27",1448.31881506056,52675.6108031983,3774.3914636602,63.7980893706335,52675.6108031983,3774.3914636602,63.7980893706335,14665.7133775713,491.809307928763,15534.4283456372,1448.31881506056,NA,5197.17883239205,5786.92370327689,491.809307928763,6663.99790913511,5586.41881878595
"2018-02-28",1448.11186481795,52653.0933073358,3773.56000327216,63.8934823144227,52653.0933073358,3773.56000327216,63.8934823144227,14657.9626890042,491.462612752128,15546.2665219651,1448.11186481795,NA,5193.450859277,5785.35637555093,491.462612752128,6665.17757663317,5590.58343444387
"2018-03-01",1447.8944231521,52630.2918599714,3772.73826484936,63.9883927541752,52630.2918599714,3772.73826484936,63.9883927541752,14650.3709208774,491.110644267254,15558.2765369139,1447.8944231521,NA,5189.72007136616,5783.82375131287,491.110644267254,6666.39779081027,5594.79219131671
"2018-03-02",1447.66687411355,52607.2213306072,3771.92863032177,64.0828215911631,52607.2213306072,3771.92863032177,64.0828215911631,14642.9391980872,490.753764501928,15570.4564009942,1447.66687411355,NA,5185.98671234402,5782.32519825797,490.753764501928,6667.6592557252,5599.04740201884
"2018-03-05",1447.42962205105,52583.896448083,3771.13358878776,64.1767686319225,52583.896448083,3771.13358878776,64.1767686319225,14635.6685379033,490.392357552982,15582.8039952196,1447.42962205105,NA,5182.2510880148,5780.86008994146,490.392357552982,6668.96272446232,5603.35147225655
"2018-03-06",1447.18309211913,52560.3319134508,3770.35573354188,64.2702325946843,52560.3319134508,3770.35573354188,64.2702325946843,14628.5598675076,490.026827460267,15595.3170371385,1447.18309211913,NA,5178.51353725695,5779.42782954594,490.026827460267,6670.30900274341,5607.70690237611
"2018-03-07",1446.92772458896,52536.5422360067,3769.59773470837,64.3632115500411,52536.5422360067,3769.59773470837,64.3632115500411,14621.6139732638,489.657590502271,15607.9931522012,1446.92772458896,NA,5174.77442860706,5778.02785048726,489.657590502271,6671.69889051874,5612.11626822301
"2018-03-08",1446.66397495042,52512.5419497115,3768.86234452305,64.4557027789728,52512.5419497115,3768.86234452305,64.4557027789728,14614.8315635925,489.285075553856,15620.8298954559,1446.66397495042,NA,5171.0341626315,5776.65960791236,489.285075553856,6673.13315867545,5616.582214382
"2018-03-09",1446.39231236405,52488.3455651537,3768.15236499114,64.5477023169185,52488.3455651537,3768.15236499114,64.5477023169185,14608.2131974371,488.909722998815,15633.8246615692,1446.39231236405,NA,5167.2931552842,5775.32255199636,488.909722998815,6674.61254639673,5621.10742093834
