"","T00C1_hpfc","CN_10yry_hpfc","USDCNH_hpfc","CN_5yry_hpfc","CN_2yry_hpfc","IH00C1_hpfc","IF00C1_hpfc","SPX_hpfc"
"2013-06-24",NA,-0.0121346623130042,0.000635727893942908,0.179522282341908,0.366926733039126,NA,-285.730645384055,-64.3147230127237
"2013-06-25",NA,-0.0235008999495034,0.00189000755018606,0.174982866399946,0.35671771405981,NA,-304.308597183557,-50.5948655011351
"2013-06-26",NA,-0.0233340126157338,0.0080421201353886,0.129241836956299,0.331968383164439,NA,-293.103303598771,-36.5821357097902
"2013-06-27",NA,-0.0498335218191839,0.00649217207954745,-0.0201668862334995,0.193479243530311,NA,-294.916290484022,-27.856648336154
"2013-06-28",NA,-0.0671989394222687,-0.00115973351161929,-0.0842427701707749,0.0518506611122817,NA,-243.748962536397,-35.9885029561115
"2013-07-01",NA,-0.0940520746369782,-0.00472618902217676,-0.14303444482106,-0.0719689481597425,NA,-247.40260254651,-28.517787630727
"2013-07-02",NA,-0.0974090590795014,-0.00568491550382993,-0.147306458390776,-0.0830524834430373,NA,-247.878392548921,-30.6045755448581
"2013-07-03",NA,-0.0797957413415514,-0.00504509024109852,-0.163209112493382,-0.119873975333242,NA,-261.777412311985,-30.4789280952618
"2013-07-04",NA,-0.0748447654025902,-0.00700660654808179,-0.167574931230501,-0.164833049388342,NA,-235.300639140979,NA
"2013-07-05",NA,-0.0979554089244153,0.00403064434654943,-0.196903037906211,-0.197629281615075,NA,-231.248942133021,-15.2008940280024
"2013-07-08",NA,-0.116115981518825,0.00283610852915993,-0.182684555562584,-0.209468922177336,NA,-274.623093121366,-7.83050949036998
"2013-07-09",NA,-0.1177984731477,0.00416952784007511,-0.179618221490522,-0.204874682537718,NA,-274.823768350268,2.83219565378219
"2013-07-10",NA,-0.114405039872141,0.00360225588215222,-0.164741989808071,-0.198247612124902,NA,-196.651530545794,1.937194777411
"2013-07-11",NA,-0.0536680305620698,0.00353439613640795,-0.144421195136335,-0.172853453585093,NA,-78.3068288329953,23.1444600827682
"2013-07-12",NA,-0.0522864134636369,0.00846605059482569,-0.130154437331877,-0.129191200950203,NA,-120.990031048997,27.1239629713426
"2013-07-15",NA,-0.0468299316110631,0.0103590869119217,-0.107430191033911,-0.0958515173480404,NA,-105.30147266209,28.2456652776308
"2013-07-16",NA,-0.0404924516527901,0.0057897680239598,-0.104197805633273,-0.0954389672714348,NA,-90.4414391281516,20.8195176241786
"2013-07-17",NA,-0.0371715370936658,0.00732042954850555,-0.0797783320049369,-0.106819149846021,NA,-111.810172375623,24.2854589579059
"2013-07-18",NA,-0.0233993629612704,0.0122511545560324,-0.0689034094589923,-0.0858241087126171,NA,-149.607876948103,31.5634196197838
"2013-07-19",NA,0.0273252444153568,0.0067820230910419,-0.0280713109949317,-0.0676525100239226,NA,-174.83471117137,33.1033199121508
"2013-07-22",NA,0.0305921127034054,0.0083762259240721,-0.0173476762008773,-0.0110312228390016,NA,-222.690771529372,35.3650670902943
"2013-07-23",NA,0.03587151692581,0.00730839027416441,-0.00673585674748527,-0.0076728382055137,NA,-146.576082236322,31.0485547259236
"2013-07-24",NA,0.0466758343767902,0.00854104340219654,0.0108087073982601,0.100702434341494,NA,-156.090575455122,23.4236617722479
"2013-07-25",NA,0.0539395242917215,0.00997424477752456,0.12632115417177,0.153562679803095,NA,-177.634122759951,26.5602543482548
"2013-07-26",NA,0.00916369327862614,0.00950805033898026,0.0770032837072137,0.103809274887291,NA,-194.40653120343,26.7881888905342
"2013-07-29",NA,-0.0225900863474332,0.0114135906334599,0.0622517655220863,0.0548467614277562,NA,-221.807534411357,19.2973108567329
"2013-07-30",NA,-0.0206131374650231,0.0118502916415981,0.06686315815174,0.0534848685968812,NA,-216.236785649799,18.7574546313395
"2013-07-31",NA,-0.0245702403782065,0.0084878155594992,0.0430193734440263,0.0443822460782913,NA,-218.493846498294,17.3584466221043
"2013-08-01",NA,-0.0347602755189159,0.010226192670257,0.0328553617426983,0.0189734057291724,NA,-138.378189153004,37.330105483204
"2013-08-02",NA,-0.044882113162753,0.00406544974844273,0.00607272227557474,-0.018740492272459,NA,-141.689195493431,38.9622426935319
"2013-08-05",NA,-0.0604602393279341,0.000688717884570405,-0.0296711081805415,-0.0633009582370391,NA,-115.026190199065,35.2646543012158
"2013-08-06",NA,-0.0665643189885868,-0.00096829790386389,-0.0347123827791632,-0.0712234352741113,NA,-101.188439380847,24.3271202489599
"2013-08-07",NA,-0.0737276099210091,-0.0031243392831035,-0.0209643099745099,-0.0471450465006516,NA,-120.775161602459,16.6994059024778
"2013-08-08",NA,-0.0369155211802713,-0.00707939008719471,0.00327473828255996,-0.0506645337191994,NA,-112.985533600373,22.1012665716304
"2013-08-09",NA,0.0451732353213158,-0.00103343285870802,0.0531063987070252,-0.046980619244439,NA,-89.4186821874972,14.8724506634142
"2013-08-12",NA,0.0212124649871579,0.000110692521668824,0.0833732942643482,-0.0517953834334783,NA,-28.4736874730456,11.7526974490515
"2013-08-13",NA,0.0255207914355279,0.00156088865230826,0.0953915221877429,-0.0555846847442776,NA,-21.5495926041351,15.2717400520943
"2013-08-14",NA,0.0673121894100563,-0.00348780271967455,0.11881028424724,0.00433610234991605,NA,-26.4454289579701,5.32930673799914
"2013-08-15",NA,0.111787912103819,-0.00773536100932412,0.163431065937434,0.125268378391007,NA,-50.5602190040556,-19.9148805405022
"2013-08-16",NA,0.113949184885855,-0.00668176418997169,0.184055303641535,0.145413542128503,NA,-44.0929742804402,-26.58110203359
"2013-08-19",NA,0.122524533694136,0.00148622282689303,0.159062070655627,0.120672878301346,NA,-44.0426854256114,-37.5296297594447
"2013-08-20",NA,0.135472684075422,-0.000355281162215472,0.158613099870429,0.128049190273966,NA,-64.2083248517545,-32.4207247486907
