"","IH00C1_hpft","SPX_hpft","FTSE_hpft"
"2015-05-28",3048.35659566918,2086.31041219176,6785.70177486822
"2015-05-29",3038.25673315966,2085.98755038157,6782.17854873797
"2015-06-01",3028.15344268029,2085.64809934577,6778.55962858216
"2015-06-02",3018.04706263412,2085.29216767106,6774.84643662508
"2015-06-03",3007.93805867559,2084.91987472534,6771.04046743757
"2015-06-04",2997.82701118838,2084.5313499244,6767.14327900942
"2015-06-05",2987.71459846534,2084.12673473351,6763.15650349518
"2015-06-08",2977.60165396346,2083.70617529246,6759.08181111866
"2015-06-09",2967.48914221004,2083.26982133868,6754.92088923479
"2015-06-10",2957.37825813847,2082.81782077996,6750.67543799518
"2015-06-11",2947.27038199582,2082.35032023446,6746.34715708807
"2015-06-12",2937.1670625236,2081.86747557225,6741.93777910326
"2015-06-15",2927.07001948249,2081.36945362146,6737.44907812857
"2015-06-16",2916.98116609917,2080.85642627077,6732.88284601902
"2015-06-17",2906.90255479097,2080.32856667394,6728.24086349809
"2015-06-18",2896.83635223563,2079.78605436441,6723.52490187214
"2015-06-19",2886.78484849775,2079.22907718882,6718.73671273362
"2015-06-23",2876.75041158654,2078.07256088304,6708.95062899668
"2015-06-24",2866.73545341632,2077.47347541488,6703.95622267307
"2015-06-25",2856.74242965533,2076.86083875663,6698.89662086211
"2015-06-26",2846.77386932851,2076.23491879835,6693.77368040756
"2015-06-29",2836.83232727832,2075.59599394976,6688.58930317767
"2015-06-30",2826.92029354311,2074.94435306001,6683.34541581188
"2015-07-01",2817.04018291643,2074.28027755591,6678.04391679606
"2015-07-02",2807.19441882266,2073.60404397255,6672.68663750064
"2015-07-03",2797.38537473578,NA,6667.27538058656
"2015-07-06",2787.61539651947,2072.91593014279,6661.8119312641
"2015-07-07",2777.88674679296,2072.21621521231,NA
"2015-07-08",2768.20167543761,2071.50517660887,6656.2980410568
"2015-07-09",2758.56241956739,2070.78309553168,6650.73540935014
"2015-07-10",2748.97110551514,2070.05024291816,6645.12566707816
"2015-07-13",2739.42985665306,2069.30688165641,6639.4704166094
"2015-07-14",2729.9408393548,2068.55327735014,6633.7712719917
"2015-07-15",2720.5062446178,2067.78970812504,6628.02988798028
"2015-07-16",2711.1282562715,2067.01646880518,6622.24796892483
"2015-07-17",2701.80905297577,2066.23387058792,6616.42727114263
"2015-07-20",2692.55083384025,2065.44224834519,6610.56962295907
"2015-07-21",2683.35583533825,2064.64196191845,6604.67691828032
"2015-07-22",2674.22629305428,2063.83339712367,6598.75112464028
"2015-07-23",2665.16443539852,2063.01696233312,6592.79427752626
"2015-07-24",2656.17247357483,2062.19308671791,6586.80844077757
"2015-07-27",2647.25265211816,2061.36221562516,6580.79570395089
"2015-07-28",2638.40721970839,2060.52480161798,6574.75815371006
"2015-07-29",2629.63833728908,2059.68129985446,6568.69784544182
"2015-07-30",2620.94807651491,2058.83217901999,6562.61682648138
"2015-07-31",2612.33844652453,2057.97792800856,6556.51716991716
"2015-08-03",2603.81136942474,2057.11905629861,6550.40099275836
"2015-08-04",2595.36868459312,2056.25609235916,6544.27046978653
"2015-08-05",2587.01214930913,2055.3895815743,6538.12783291738
"2015-08-06",2578.74347465171,2054.52008464885,6531.97537288755
"2015-08-07",2570.56431456841,2053.64818066167,6525.81546900929
"2015-08-10",2562.4762654906,2052.77446069552,6519.65058951458
"2015-08-11",2554.48088013069,2051.89952572149,6513.48328227934
"2015-08-12",2546.57971654332,2051.02399795966,6507.31618470053
"2015-08-13",2538.77433605677,2050.14851292809,6501.15199661592
"2015-08-14",2531.06630058604,2049.27372062317,6494.99344426612
"2015-08-17",2523.45717800936,2048.40028478199,6488.84328166045
"2015-08-18",2515.94854370072,2047.52888661282,6482.70428585159
"2015-08-19",2508.54196441249,2046.66022966179,6476.57925929595
"2015-08-20",2501.23896004323,2045.7950378913,6470.47102246658
"2015-08-21",2494.0410019045,2044.93404888388,6464.38236560774
"2015-08-24",2486.94950168523,2044.07799606159,6458.31603656093
"2015-08-25",2479.96575961586,2043.22758223962,6452.27466877756
"2015-08-26",2473.09087679075,2042.38344787042,6446.26066445648
"2015-08-27",2466.32567728452,2041.54616081734,6440.27627246715
"2015-08-28",2459.6707191786,2040.71624683331,6434.32354861492
"2015-08-31",2453.12638193134,2039.89420939692,NA
"2015-09-01",2446.69288516669,2039.08053055561,6428.40444609017
"2015-09-02",2440.37028302993,2038.27566436644,6422.52084103971
"2015-09-07",2434.15845990207,NA,6405.0995904639
"2015-09-08",2428.05712135746,2035.9177810932,6399.37393850707
"2015-09-09",2422.0658151666,2035.15181185276,6393.69112261167
"2015-09-10",2416.1839825948,2034.39628884315,6388.05224038202
"2015-09-11",2410.41096393785,2033.65142798917,6382.45832134984
"2015-09-14",2404.74600252407,2032.91741127611,6376.91029904723
"2015-09-15",2399.18824486797,2032.19439067878,6371.4089975907
"2015-09-16",2393.7367255688,2031.48248514977,6365.95512026335
"2015-09-17",2388.39038035528,2030.78179127704,6360.54927370101
"2015-09-18",2383.14808289523,2030.09239069635,6355.19200801455
"2015-09-21",2378.00862699942,2029.41434826854,6349.8838015723
"2015-09-22",2372.97071051809,2028.74769908744,6344.62502895553
"2015-09-23",2368.0329517674,2028.0924524349,6339.41596505392
"2015-09-24",2363.19389516694,2027.44858204061,6334.25671578192
"2015-09-25",2358.45199054583,2026.81602470786,6329.14726007969
"2015-09-28",2353.8056008477,2026.19467788456,6324.08742280069
"2015-09-29",2349.25299499639,2025.58439955262,6319.0769378025
"2015-09-30",2344.79235196648,2024.98498799462,6314.11538797229
"2015-10-08",2340.42174530392,2021.59942241754,6285.334563256
"2015-10-09",2336.13915257571,2021.06680463805,6280.69481314499
"2015-10-12",2331.94248131664,2020.54213107903,6276.09774115769
"2015-10-13",2327.8295858459,2020.02497717702,6271.54261134384
"2015-10-14",2323.79829744111,2019.51491709449,6267.02872705637
"2015-10-15",2319.84642016844,2019.01151824171,6262.55542088813
"2015-10-16",2315.97172345532,2018.51433758129,6258.12202649907
"2015-10-19",2312.17196728537,2018.02293408003,6253.72790901184
"2015-10-20",2308.44491190169,2017.53687273799,6249.37248311834
"2015-10-21",2304.78829730478,2017.05572501895,6245.05520426871
"2015-10-22",2301.19985917723,2016.57906785675,6240.77556749507
"2015-10-23",2297.67731096785,2016.10647896409,6236.53311055673
"2015-10-26",2294.21836190932,2015.63755090609,6232.32742722494
"2015-10-27",2290.8207304615,2015.17190065408,6228.15819706255
"2015-10-28",2287.48214425324,2014.7091681384,6224.0251759768
"2015-10-29",2284.20034082565,2014.24901425424,6219.92817655143
"2015-10-30",2280.97305421351,2013.79113116363,6215.86709973628
"2015-11-02",2277.79801977421,2013.33524209716,6211.84191917929
"2015-11-03",2274.67297502579,2012.88109738893,6207.85266855795
"2015-11-04",2271.5956528574,2012.4284845526,6203.89944353617
"2015-11-05",2268.56377637287,2011.97723116008,6199.98241242898
"2015-11-06",2265.57510819484,2011.52720193667,6196.10182993557
"2015-11-09",2262.62747519715,2011.07829796381,6192.25801892542
"2015-11-10",2259.71879569908,2010.63045656335,6188.45136746647
"2015-11-11",2256.84708903373,2010.18364295965,6184.68230616222
"2015-11-12",2254.01047261678,2009.73785176259,6180.95130150758
"2015-11-13",2251.20716371205,2009.29310437455,6177.25886650794
"2015-11-16",2248.43546555783,2008.84943717483,6173.60551322955
"2015-11-17",2245.6937578611,2008.40689222512,6169.99172935937
"2015-11-18",2242.98049678573,2007.96552991573,6166.41799133041
"2015-11-19",2240.29420972,2007.52542801177,6162.88481640237
"2015-11-20",2237.63349929184,2007.08669553433,6159.39276835952
"2015-11-23",2234.99706374157,2006.64947197513,6155.94248003588
"2015-11-24",2232.38367388173,2006.21393075584,6152.53465670165
"2015-11-25",2229.79217253333,2005.78027834231,6149.17006544371
"2015-11-26",2227.22147387002,NA,6145.84952489309
"2015-11-27",2224.67057482333,2005.34875547872,6142.57393158673
"2015-11-30",2222.13854994485,2004.91963725518,6139.34428427734
"2015-12-01",2219.62451236484,2004.4932337987,6136.16167785528
"2015-12-02",2217.12760987844,2004.06988644096,6133.02729680476
"2015-12-03",2214.64703251608,2003.64997707944,6129.9424328722
"2015-12-04",2212.18206574155,2003.23391879552,6126.90849681125
"2015-12-07",2209.73208742648,2002.82214367277,6123.9269593366
"2015-12-08",2207.29654398491,2002.41512035891,6120.99933720365
"2015-12-09",2204.87494725248,2002.01334819275,6118.1271883355
"2015-12-10",2202.46686267907,2001.61735180036,6115.31207653343
"2015-12-11",2200.07191653011,2001.22767465972,6112.55556913402
"2015-12-14",2197.68978737473,2000.84488117009,6109.8592222051
"2015-12-15",2195.3202116227,2000.46954033647,6107.2245257695
"2015-12-16",2192.9630150151,2000.10222988377,6104.65287238018
"2015-12-17",2190.61809657332,1999.74354528674,6102.14561762135
"2015-12-18",2188.28543015213,1999.3941121821,6099.70409911164
"2015-12-21",2185.96507764448,1999.05457362819,6097.32965463267
"2015-12-22",2183.6572009411,1998.72557521556,6095.02360242047
"2015-12-23",2181.36207777057,1998.40777166811,6092.78723488071
"2015-12-24",2179.0801021572,1998.10183389877,NA
"2015-12-25",2176.81178776738,NA,NA
"2015-12-28",2174.55776356171,1997.80846005348,NA
"2015-12-29",2172.31878415731,1997.52837427369,6090.62183949001
"2015-12-30",2170.09568901021,1997.26232496148,6088.52876498205
"2015-12-31",2167.88941623766,1997.01109393154,6086.50945266164
"2016-01-04",2165.70100089152,1996.77549032068,6084.56542052076
"2016-01-05",2163.53156933919,1996.55634266421,6082.69825095686
"2016-01-06",2161.38228444741,1996.35448606347,6080.90953003222
"2016-01-07",2159.25434937243,1996.17076395057,6079.20086635406
"2016-01-08",2157.14901960905,1996.00601723827,6077.57386541706
"2016-01-11",2155.06754509079,1995.86106489798,6076.03008099646
"2016-01-12",2153.0111910664,1995.73669532234,6074.57099860743
"2016-01-13",2150.98120399021,1995.63366706313,6073.19801935692
"2016-01-14",2148.97881716708,1995.55271508722,6071.91248427834
"2016-01-15",2147.0052423323,1995.49453081248,6070.71568801417
"2016-01-18",2145.06168296265,NA,6069.60886168095
"2016-01-19",2143.14931442437,1995.45977518688,6068.59312618688
"2016-01-20",2141.26926369504,1995.44906153753,6067.66948269449
"2016-01-21",2139.42263371568,1995.46295601481,6066.83885308669
"2016-01-22",2137.61048523591,1995.50196850301,6066.10199634575
"2016-01-25",2135.8338213737,1995.56655660758,6065.45955031937
"2016-01-26",2134.09360059986,1995.65714130949,6064.9120841994
"2016-01-27",2132.39073590161,1995.77409461209,6064.46008927592
"2016-01-28",2130.72605383527,1995.91775047841,6064.10399340835
