"","P0_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","AL0_hpfc","I0_hpfc","CF0_hpfc","FG0_hpfc","SA0_hpfc","P0_hpfc","Y0_hpfc","I0_hpfc","V0_hpfc","TA0_hpfc"
"2013-11-22",495.502205361843,-302.964944736053,22.6183317842428,-4.8566326610909,-302.964944736053,22.6183317842428,-4.8566326610909,146.770346854228,0.935575631335828,-618.91800570659,-11.9540495971656,NA,495.502205361843,269.67888054007,0.935575631335828,-55.287494836894,94.5791422268364
"2013-11-25",501.857023323037,-257.240661663889,46.6665272410616,-5.3702352196343,-257.240661663889,46.6665272410616,-5.3702352196343,104.309981399157,4.53694692893435,-677.929823608856,-0.0304662737459105,NA,501.857023323037,283.813249013241,4.53694692893435,-56.9420518130605,37.4837804979564
"2013-11-26",342.251666019824,48.7457239530855,72.7526012620324,-6.06512397385702,48.7457239530855,72.7526012620324,-6.06512397385702,121.899755295445,14.1407486471477,-606.831971693685,2.89530251745647,NA,342.251666019824,211.95496736339,14.1407486471477,-58.5935327291079,56.4308428735881
"2013-11-27",358.68765834219,-65.0032738898574,64.8769577857441,-7.14132248647349,-65.0032738898574,64.8769577857441,-7.14132248647349,114.537824120405,10.7471016265136,-640.61778975104,1.823475391213,NA,358.68765834219,248.103930267092,10.7471016265136,-85.2420110542457,61.418743885344
"2013-11-28",359.166383707092,-288.485161348351,87.0399706776805,-7.22885181312338,-288.485161348351,87.0399706776805,-7.22885181312338,27.2222930628932,15.3561208623483,-574.28036673161,-3.24573023450839,NA,359.166383707092,230.259944787245,15.3561208623483,-91.8875360374762,70.4458747385111
"2013-11-29",403.689077264432,-91.6974177075382,89.2419869860752,-6.6777300575038,-91.6974177075382,89.2419869860752,-6.6777300575038,54.9512199665209,16.967916907558,-482.812526779912,1.68790230451002,NA,403.689077264432,308.422715430576,16.967916907558,-98.5301216921698,115.510601250339
"2013-12-02",338.256825699215,-44.6374030043557,116.483317780093,-5.48797233520483,-44.6374030043557,116.483317780093,-5.48797233520483,42.7226514222618,15.582593967433,-376.20685665648,8.62459101413942,NA,338.256825699215,296.591851523604,15.582593967433,-90.1697440490949,146.611260118751
"2013-12-03",256.870548827618,-487.302439371246,132.764237239899,-3.32959100150206,-487.302439371246,132.764237239899,-3.32959100150206,35.5346113065016,20.2002492334224,-419.455743546122,10.5645532025366,NA,256.870548827618,246.766834903299,20.2002492334224,-86.8063384106208,183.746140294151
"2013-12-04",279.531026643993,-279.689830490511,139.08497139631,-2.1125961431689,-279.689830490511,139.08497139631,-2.1125961431689,63.3851058357489,34.8209734557414,-377.551419125303,7.50800261280345,NA,279.531026643993,246.947024807481,34.8209734557414,-73.4398028065768,214.913470123699
"2013-12-05",184.2389329628,98.2033213873642,121.445691400492,-1.9169964706602,98.2033213873642,121.445691400492,-1.9169964706602,131.272126537971,29.444849034647,-390.485941683712,6.45514862108516,NA,184.2389329628,191.13167847049,29.444849034647,119.930000615459,140.111402001335
"2013-12-06",202.994826051604,306.380029625026,132.846510911692,-1.55279982116755,306.380029625026,132.846510911692,-1.55279982116755,129.193638740355,27.071943976807,-318.251213447262,8.40619750001266,NA,202.994826051604,221.319951048699,27.071943976807,128.303240064972,185.337999484375
"2013-12-09",261.799188020869,284.843266990846,155.287493388129,-2.16001323947538,284.843266990846,155.287493388129,-2.16001323947538,192.147553507234,32.7023141175599,-280.838975230292,9.36135285391396,NA,261.799188020869,213.510918692315,32.7023141175599,121.680034177204,212.59126821374
"2013-12-10",256.652417071375,533.595879608891,151.768647374945,-0.678643128496578,533.595879608891,151.768647374945,-0.678643128496578,270.131728499742,31.3360041018089,-283.240836294731,9.320814812344,NA,256.652417071375,221.703566066796,31.3360041018089,70.0604485519998,201.869137219104
"2013-12-11",271.554803186522,552.64059585944,173.289917227476,-1.89869499828846,552.64059585944,173.289917227476,-1.89869499828846,268.143941952803,27.9730450566162,-265.448289815039,13.2847796352514,NA,271.554803186522,249.896789580763,27.9730450566162,58.4444984915697,221.169447653449
"2013-12-12",214.506530259931,1031.97992355662,169.851184566084,-1.80017407838126,1031.97992355662,169.851184566084,-1.80017407838126,276.1818604398,22.6134551560178,-247.452711885359,46.2534397297291,NA,214.506530259931,194.089393999497,22.6134551560178,76.832170337954,270.48995722511
"2013-12-13",63.5076699353887,651.616142074669,119.452259379936,-2.85308481345976,651.616142074669,119.452259379936,-2.85308481345976,159.243039694068,8.25724101110626,-244.24536887461,29.2269820114694,NA,63.5076699353887,44.2800807909967,8.25724101110626,50.2234262745818,215.828332219908
"2013-12-16",38.5582051882264,921.551104208975,117.092881448655,-1.69743090409076,921.551104208975,117.092881448655,-1.69743090409076,172.324921286662,13.9043998854882,-255.817424863827,22.2055742768668,NA,38.5582051882264,8.46747119451142,13.9043998854882,58.6181967255571,193.182127113984
"2013-12-17",75.6580927423738,981.786393402131,111.772741174954,-1.74321487151091,981.786393402131,111.772741174954,-1.74321487151091,145.424880963777,7.55492562955938,-242.159942974272,26.1893722410546,NA,75.6580927423738,26.6501681456879,7.55492562955938,72.0163913546356,172.54880716873
"2013-12-18",84.8072733833324,852.323212166252,107.49148056029,-1.45043853526596,852.323212166252,107.49148056029,-1.45043853526596,168.540223239602,5.20880634618237,-218.263880580806,26.1785224402486,NA,84.8072733833324,14.8267710800494,5.20880634618237,60.4178955951739,113.92575779185
