"","T00C1_hpft","SPX_hpft","FTSE_hpft","IH00C1_hpft","IF00C1_hpft"
"2015-04-10",95.9983794533833,2087.6436497672,6843.60545154825,NA,4145.99605600908
"2015-04-13",95.9962591186834,2087.85633012609,6843.42999794394,NA,4154.65733568212
"2015-04-14",95.9941552403192,2088.05447750066,6843.15328366672,NA,4163.08611556824
"2015-04-15",95.9920681853267,2088.23792630114,6842.77428357121,NA,4171.27725964208
"2015-04-16",95.9899981454129,2088.40651415594,6842.29206845546,NA,4179.22573667127
"2015-04-17",95.9879453775677,2088.560086296,6841.7058141135,3330.07056684096,4186.92660269297
"2015-04-20",95.9859102173203,2088.69849480726,6841.01478651679,3320.02509283837,4194.37505510255
"2015-04-21",95.9838931291903,2088.82158872499,6840.21831484957,3309.97958739126,4201.56646171307
"2015-04-22",95.9818951002215,2088.9292219214,6839.31581556263,3299.93394745084,4208.49632344967
"2015-04-23",95.9799176986858,2089.02125176918,6838.30679716692,3289.88803856139,4215.16031370499
"2015-04-24",95.9779630873094,2089.09754350763,6837.19084626707,3279.8417296014,4221.55433425453
"2015-04-27",95.9760339910224,2089.1579722589,6835.96763849,3269.79488031902,4227.67449390017
"2015-04-28",95.9741335696242,2089.20242496418,6834.63694598604,3259.74733109995,4233.51710830839
"2015-04-29",95.9722657203342,2089.23079673344,6833.19865169091,3249.69895862497,4239.07873137544
"2015-04-30",95.9704350703101,2089.24299324112,6831.65271951509,3239.6496507572,4244.35611850372
"2015-05-04",95.9686469567516,2089.21851075878,NA,3229.59931416837,4249.34624496984
"2015-05-05",95.9669075392647,2089.18166247266,6828.23803744903,3219.54786782764,4254.04630242169
"2015-05-06",95.9652236517911,2089.12831232197,6826.36947995743,3209.49524872695,4258.45369259841
"2015-05-07",95.9636027619915,2089.05839015741,6824.39365713245,3199.44137048362,4262.56596768339
"2015-05-08",95.9620528272651,2088.97182211837,6822.31078285197,3189.38612336212,4266.38081360109
"2015-05-11",95.9605823160882,2088.86853390677,6820.12109685226,3179.32936115148,4269.89601574298
"2015-05-12",95.9592003119947,2088.74846243816,6817.82493167249,3169.27090060941,4273.10947318416
"2015-05-13",95.9579164604471,2088.61155143271,6815.42270654545,3159.21055050367,4276.01924542514
"2015-05-14",95.9567408329988,2088.4577488977,6812.91488864352,3149.14812197019,4278.62357008048
"2015-05-15",95.955684022898,2088.28700691966,6810.30200061467,3139.08341216896,4280.92084935576
"2015-05-18",95.9547570959703,2088.09929107806,6807.58463129629,3129.01621009692,4282.90965591586
"2015-05-19",95.9539716241244,2087.89458118977,6804.76343160742,3118.94626437258,4284.58870862384
"2015-05-20",95.9533394914557,2087.67287406101,6801.83911913593,3108.87325763556,4285.95683129063
"2015-05-21",95.9528728325673,2087.4341830057,6798.8124901473,3098.7968824683,4287.01305002937
"2015-05-22",95.9525841651072,2087.17853711867,6795.68442581973,3088.71684646928,4287.75659310339
"2015-05-25",95.952486307288,NA,NA,3078.63289551538,4288.18693877173
"2015-05-26",95.9525924028084,2086.90598342868,6792.45589606221,3068.54486405949,4288.30386913077
"2015-05-27",95.9529158299541,2086.61658503657,6789.1279683512,3058.45272501647,4288.10752516063
"2015-05-28",95.9534698460652,2086.31041219176,6785.70177486822,3048.35659566918,4287.59845537137
"2015-05-29",95.9542676452732,2085.98755038157,6782.17854873797,3038.25673315966,4286.77762241563
"2015-06-01",95.9553220275819,2085.64809934577,6778.55962858216,3028.15344268029,4285.64625994532
"2015-06-02",95.9566453654723,2085.29216767106,6774.84643662508,3018.04706263412,4284.20585385254
"2015-06-03",95.9582493099782,2084.91987472534,6771.04046743757,3007.93805867559,4282.45828824306
"2015-06-04",95.9601451125606,2084.5313499244,6767.14327900942,2997.82701118838,4280.40585231152
"2015-06-05",95.9623436533822,2084.12673473351,6763.15650349518,2987.71459846534,4278.05120733484
"2015-06-08",95.964855378516,2083.70617529246,6759.08181111866,2977.60165396346,4275.39741554739
"2015-06-09",95.9676904602508,2083.26982133868,6754.92088923479,2967.48914221004,4272.44793284548
"2015-06-10",95.9708589035226,2082.81782077996,6750.67543799518,2957.37825813847,4269.20665328834
"2015-06-11",95.9743705075431,2082.35032023446,6746.34715708807,2947.27038199582,4265.67787518073
