"","RB0_60Close","RB0_60_hpft","RB0_60_hpfc","HC0_60Close","HC0_60_hpft","HC0_60_hpfc","I0_60Close","I0_60_hpft","I0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","BU0_60Close","BU0_60_hpft","BU0_60_hpfc","JM0_60Close","JM0_60_hpft","JM0_60_hpfc","UR0_60Close","UR0_60_hpft","UR0_60_hpfc","FG0_60Close","FG0_60_hpft","FG0_60_hpfc","MA0_60Close","MA0_60_hpft","MA0_60_hpfc","SA0_60Close","SA0_60_hpft","SA0_60_hpfc","SR0_60Close","SR0_60_hpft","SR0_60_hpfc"
"2022-08-23 14:30:00",4035,3972.73577874653,62.2642212534742,3936,3948.06032888952,-12.0603288895187,704,707.570578799155,-3.57057879915461,6178,6395.25066398057,-217.250663980574,4048,3987.17640998182,60.8235900181763,1957.5,1998.5644484481,-41.0644484481041,2284,2269.78073118919,14.219268810812,1466,1484.49610869534,-18.4961086953427,2509,2527.11987917873,-18.119879178731,2368,2341.53075808719,26.4692419128109,5524,5532.74346024141,-8.74346024140831
"2022-08-23 15:00:00",4052,3969.99927544374,82.0007245562566,3951,3946.60506441712,4.39493558287838,705,707.288093995211,-2.28809399521102,6196,6393.31777391393,-197.317773913926,3977,3984.47186873892,-7.47186873892238,1958.5,1996.56319289867,-38.0631928986724,2286,2271.47676444574,14.5232355542615,1468,1483.96389655266,-15.9638965526575,2515,2528.5349913989,-13.5349913988997,2373,2341.05615549932,31.9438445006784,5529,5532.09639031445,-3.09639031444946
"2022-08-23 22:00:00",4060,3967.22978411732,92.770215882676,3966,3945.1338312342,20.8661687657969,708,707.010953685019,0.989046314980935,6273,6391.42836291654,-118.42836291654,3914,3981.75124052426,-67.7512405242581,1983.5,1994.57391328773,-11.0739132877332,NA,NA,NA,1471,1483.4390647761,-12.4390647760976,2517,2529.96711115056,-12.9671111505606,2372,2340.59182579578,31.408174204216,5528,5531.4680296226,-3.46802962259951
"2022-08-23 23:00:00",4077,3964.4280566038,112.571943396203,3976,3943.64664324845,32.3533567515508,714.5,706.73912554088,7.76087445912019,6296,6389.582050757,-93.5820507569986,3900,3979.01538964292,-79.0153896429246,1971,1992.59738411499,-21.5973841149874,NA,NA,NA,1474,1482.92189579814,-8.92189579814096,2520,2531.41579801881,-11.4157980188123,2370,2340.13729578533,29.8627042146736,5534,5530.85836610289,3.1416338971054
"2022-08-24 10:00:00",4048,3961.5948830871,86.4051169128959,3960,3942.14352299271,17.8564770072859,701,706.472577643924,-5.47257764392417,6275,6387.77840825042,-112.778408250422,3891,3976.26515239429,-85.2651523942858,1938,1990.6343753027,-52.634375302696,2271,2273.1824395579,-2.18243955790018,1473,1482.41266690947,-9.41266690947056,2528,2532.88060622873,-4.88060622873021,2356,2339.6921052596,16.3078947404021,5523,5530.26738625889,-7.26738625889372
"2022-08-24 10:15:00",4053,3958.73110028388,94.2688997161165,3970,3940.62450637345,29.3754936265534,701.5,706.211281283331,-4.71128128333081,6274,6386.01696752889,-112.016967528891,3897,3973.50133241592,-76.501332415925,1937.5,1988.68564784554,-51.1856478455436,2268,2274.89737867728,-6.89737867727556,1471,1481.9116517128,-10.9116517127999,2526,2534.36108528648,-8.3610852864767,2359,2339.25580635427,19.7441936457269,5520,5529.69507789282,-9.69507789282176
"2022-08-24 11:30:00",4064,3955.83758062728,108.162419372721,3978,3939.08963667825,38.9103633217538,702.5,705.955205486113,-3.45520548611278,6342,6384.29721410626,-42.2972141062576,3901,3970.72469810029,-69.7246981002861,1933.5,1986.75194098132,-53.2519409813224,2267,2276.62120305332,-9.62120305331544,1470,1481.41911992003,-11.4191199200302,2530,2535.85678268076,-5.8567826807614,2366,2338.82795794603,27.1720420539684,5511,5529.14142580272,-18.1414258027164
"2022-08-24 14:30:00",4055,3952.91523551726,102.084764482744,3982,3937.53896933737,44.4610306626343,703,705.704317331843,-2.70431733184283,6332,6382.61858719326,-50.6185871932627,3885,3967.93598621719,-82.9359862171939,1927.5,1984.83397278975,-57.3339727897523,2282,2278.35353108436,3.64646891563702,1468,1480.93533673262,-12.935336732618,2523,2537.36724244426,-14.3672424442551,2360,2338.40812707305,21.5918729269475,5504,5528.6064107792,-24.6064107792036
"2022-08-24 15:00:00",4086,3949.9650210639,136.0349789361,4008,3935.97257586503,72.027424134971,716,705.458582471851,10.5414175281492,6357,6380.98050851666,-23.9805085166644,3908,3965.13590471513,-57.135904715132,1948,1982.93243933831,-34.932439338306,2286,2280.09397719175,5.90602280824651,1473,1480.46056263183,-7.46056263183164,2529,2538.89200618856,-9.89200618855812,2365,2337.99589200531,27.0041079946861,5513,5528.09000611392,-15.0900061139243
"2022-08-24 22:00:00",4094,3946.98793557496,147.012064425037,4039,3934.39054615389,104.609453846107,719,705.21796543961,13.7820345603902,6393,6379.38237887938,13.617621120619,3986,3962.32512726016,23.67487273984,1972,1981.04801299494,-9.04801299493805,NA,NA,NA,1484,1479.99505275198,4.00494724801528,2542,2540.43060958653,1.56939041347424,2434,2337.590839938,96.4091600619971,5523,5527.59217492719,-4.59217492719084
