"","V0_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","GR_10yry_hpft","IT_10yry_hpft","AU_10yry_hpft","INA_10yry_hpft","IND_10yry_hpft"
"2017-09-21",6692.91864456016,3.70488680869809,2.25845354201456,1.24480582683579,0.425318201633806,2.02507265715011,2.68375466730774,0.0472679149059112,6.65934845752868
"2017-09-22",6692.78014766943,3.70724774779283,2.25989395406602,1.24658630617338,0.42542461228404,2.02324479894166,2.68436228010171,0.0472783102240193,6.66367115740167
"2017-09-25",6692.53764332567,3.71203861362242,2.26287484818883,1.25014441098557,0.425664382345269,2.01953838502678,2.68549325595015,0.047310698516378,6.67252669693985
"2017-09-26",6692.19632539508,3.71446773736448,2.26441439597264,1.25191992436243,0.425798075090477,2.01765955838644,2.68601617998528,0.0473323769515148,6.67705772914272
"2017-09-27",6691.7614176969,3.71691872541002,2.26598604488058,1.25369175940508,0.425941215446065,2.01576357296412,2.68651051362746,0.0473574845919427,6.6816563690981
"2017-09-28",6691.23821134684,3.71939108229681,2.26758929967149,1.2554589976525,0.426093984864028,2.01385044565815,2.68697614526202,0.0473858388335368,6.68632168295484
"2017-09-29",6690.63205460296,3.72188426985479,2.26922365436268,1.25722077014694,0.426256558206871,2.01192026456239,2.68741300935959,0.0474172503106487,6.6910527308032
"2017-10-09",6689.94826627628,3.74514942271329,2.2852590322608,1.27271126001016,0.428200211549221,1.99383408013696,2.69007362838136,0.0478096207659962,6.73642763023723
"2017-10-10",6689.19216491641,3.74781145627459,2.28718132067776,1.27438127046047,0.428474851042006,1.99175554059126,2.69023417523551,0.0478627532764911,6.74176141166602
"2017-10-11",6688.36896988818,3.75048545371251,2.28913069028563,1.27603947210601,0.428762484296866,1.98966625039659,2.6903695953283,0.047917318004254,6.74714999807434
"2017-10-12",6687.48377068205,3.7531703533153,2.29110695402536,1.27768558369407,0.42906350890189,1.98756728050092,2.6904805889581,0.0479731969900854,6.75259243183264
"2017-10-13",6686.54153345458,3.75586504993311,2.29310994999879,1.27931937007281,0.429378331223823,1.98545978300866,2.69056791744782,0.0480302760291961,6.75808775235567
"2017-10-16",6685.54711379545,3.76399628971822,2.299278010517,1.28414510857167,0.430409872259469,1.97909864555987,2.6906962760863,0.0482076702355264,6.77488138625962
"2017-10-17",6684.5052860518,3.76671838339202,2.30138662825028,1.28572817209895,0.430784208398829,1.97696978556759,2.69069752128799,0.0482685408201237,6.78057854964168
"2017-10-18",6683.42071067072,3.76944422828143,2.30352132150593,1.2872984461859,0.431174523257433,1.97483897050867,2.69067958396515,0.0483301380881239,6.78632368267892
"2017-10-19",6682.29793669676,3.77217253293629,2.30568195433785,1.28885597789456,0.431581252387581,1.97270760849588,2.69064346611955,0.0483923847412633,6.79211576691217
"2017-10-20",6681.14140428687,3.77490199447943,2.30786838934443,1.29040085244078,0.432004814321676,1.97057711886926,2.69059018807326,0.0484552120253695,6.79795377382813
"2017-10-23",6679.95540177178,3.78308397909876,2.31458134488129,1.29496079258899,0.433380485397941,1.96420550353623,2.69033817411029,0.0486466086471933,6.81573284430987
