"","FG0_hpfc","USDCNH_hpfc","USDX_hpfc","GBPUSD_hpfc","EURUSD_hpfc","AUDUSD_hpfc","USDJPY_hpfc"
"2014-11-20",-88.9673008285148,-0.044717320141292,-0.72005855376536,-0.00969061554436199,0.0219997942442222,0.00905150548975639,4.28250567556041
"2014-11-21",-97.9562082171284,-0.0372387066578266,-0.156417938103044,-0.0128565474675482,0.00808432602027142,0.0134966710221793,3.85911456620379
"2014-11-24",-105.959354921073,-0.0128701981100673,-0.452910336385045,-0.00662860546247211,0.0146721073117941,0.00944154529477641,4.26663488769057
"2014-11-25",-89.977102136484,-0.0262113212687505,-0.759523823055925,-0.00560700746310413,0.0194630266059371,0.00218589692333804,3.8550996594055
"2014-11-26",-92.009767260168,-0.0240615975846253,-1.0962462853451,0.0046080313366191,0.0243569663249936,0.00512949062089782,3.47454013707847
"2014-11-27",-77.0576304960186,-0.0268205376737145,-0.903065296525309,0.000116298060437166,0.0217538008460209,0.00607209019693024,3.36498598289289
"2014-11-28",-75.120934014784,-0.014187642205958,-0.649967976725384,-0.00898242207265352,0.0210533944778843,0.00271345734058053,4.22646542279873
"2014-12-01",-92.1998881346703,-0.0171624007647417,-1.0569410727831,0.00221165610825107,0.0253556025373087,0.00355335123103939,3.74900529179771
"2014-12-02",-74.2946721219104,-0.0194442970688495,-0.523971062865798,-0.00630167851297359,0.017860271638385,-0.000808470074138435,4.5226306778396
"2014-12-03",-67.4054271310465,-0.0292328077428439,-0.29104398824367,-0.00122263796664647,0.0118672379142183,-0.00447224998620804,5.00736511918374
"2014-12-04",-68.5322636061554,-0.0253274013737779,-0.708145673598419,-0.000851431678243757,0.0207763301152025,-0.00503823158223951,4.83323028462086
"2014-12-05",-65.675264128638,-0.0183275344650426,-0.095261823305925,-0.00998826856782014,0.0130873720862915,-0.00980665609064653,6.38024577309278
"2014-12-08",-67.8344829514244,-0.00563265305070777,-0.43237784902303,-0.00143335720352875,0.0170001790843327,-0.0123777626572567,5.48842918568245
