"","T00C1_hpfc","SPX_hpfc","FTSE_hpfc","IH00C1_hpfc","IF00C1_hpfc"
"2015-05-07",1.23639723800852,-1.05839015740852,62.5563428675461,-88.2413704836215,240.634032316613
"2015-05-08",1.48794717273493,27.1281778816253,224.509217148032,-89.5861233621212,275.019186398909
"2015-05-11",1.35941768391177,16.4614660932315,209.728903147741,-19.3293611514749,388.103984257016
"2015-05-12",1.03079968800525,10.3715375618378,115.975068327508,5.72909939058982,430.890526815838
"2015-05-13",1.26208353955294,9.86844856729121,134.207293454552,-33.8105505036738,398.180754574858
"2015-05-14",1.1432591670012,32.6422511023018,160.125111356479,-19.7481219701882,412.376429919524
"2015-05-15",1.22431597710199,34.4429930803402,150.187999385329,-97.6834121689599,353.679150644242
"2015-05-18",0.755242904029728,41.1007089219382,161.285368703707,-159.616210096916,253.89034408414
"2015-05-19",0.606028375875585,39.9354188102291,190.336568392584,24.0537356274179,489.41129137616
"2015-05-20",0.926660508544333,38.1771259389919,205.420880864066,36.3267423644422,489.043168709365
"2015-05-21",0.727127167432663,43.3858169943003,214.657509852697,92.603117531697,604.786949970633
"2015-05-22",0.78741583489283,38.881462881329,236.035574180274,214.283153530715,735.043406896608
"2015-05-25",0.567513692712032,NA,NA,334.967104484624,868.213061228265
"2015-05-26",-0.292592402808451,17.2940165713209,156.534103937789,349.255135940514,985.896130869232
"2015-05-27",-0.152915829954048,36.8634149634293,244.202031648804,338.347274983534,1001.89247483938
"2015-05-28",-0.953469846065165,34.4795878082433,255.218225131784,116.243404330819,655.601544628634
"2015-05-29",-1.03426764527319,21.4024496184292,202.251451262028,80.3432668403405,610.222377584372
"2015-06-01",-1.74532202758188,26.0819006542322,175.020371417839,307.846557319712,963.353740054676
"2015-06-02",-0.966645365472309,24.3078323289427,153.423563374916,277.552937365884,979.994146147461
"2015-06-03",-0.898249309978212,29.1501252746558,179.419532562432,236.861941324412,900.14171175694
"2015-06-04",-1.05014511256061,11.3086500756003,92.0967209905815,375.372988811624,969.99414768848
"2015-06-05",-0.662343653382216,8.70326526649263,41.4434965048246,317.085401534658,952.348792665158
"2015-06-08",-0.404855378515998,-4.42617529246077,30.9581888813431,557.398346036545,1060.00258445261
"2015-06-09",-0.497690460250789,-3.11982133868312,-1.12088923479075,448.310857789963,977.952067154518
"2015-06-10",-0.990858903522621,22.382179220038,79.5945620048245,407.621741861526,983.593346711658
