"ZL00YDate","ZL00YClose","ZL00Y_hpft","ZL00Y_hpfc"
2010-12-01,52.61,51.9264605022872,0.683539497712819
2010-12-02,52.84,52.0527159517569,0.787284048243062
2010-12-03,53.45,52.1780067132518,1.27199328674819
2010-12-06,53.54,52.3023004035282,1.23769959647179
2010-12-07,53.8,52.4255651651306,1.3744348348694
2010-12-08,54.18,52.5477696522211,1.63223034777885
2010-12-09,54.62,52.6688830870948,1.95111691290517
2010-12-10,54.63,52.7888753667481,1.84112463325191
2010-12-13,55.92,52.9077171946912,3.01228280530879
2010-12-14,55.57,53.0253800354779,2.5446199645221
2010-12-15,54.68,53.1418365988216,1.53816340117842
2010-12-16,54.56,53.2570606462783,1.30293935372174
2010-12-17,54.63,53.3710265752167,1.25897342478333
2010-12-20,55.49,53.4837093215915,2.00629067840852
2010-12-21,56.09,53.5950843417651,2.49491565823494
2010-12-22,56.57,53.7051279214195,2.8648720785805
2010-12-23,57.23,53.8138173775364,3.4161826224636
2010-12-27,57.75,53.9211312113169,3.82886878868314
2010-12-28,57.39,54.0270493360758,3.3629506639242
2010-12-29,56.98,54.1315532478305,2.84844675216953
2010-12-30,57.31,54.2346258327065,3.07537416729346
2010-12-31,58.37,54.3362511542613,4.03374884573871
2011-01-03,57.7,54.4364145472879,3.26358545271213
2011-01-04,56.85,54.5351030139689,2.31489698603115
2011-01-05,57.76,54.6323049055239,3.12769509447608
2011-01-06,57.41,54.728009530056,2.68199046994402
2011-01-07,56.82,54.8222074885331,1.99779251146692
2011-01-10,57.13,54.91489049055,2.21510950945006
2011-01-11,56.61,55.0060510715062,1.60394892849384
2011-01-12,57.87,55.0956826824421,2.77431731755792
2011-01-13,57.71,55.1837794374029,2.52622056259707
2011-01-14,57.27,55.2703365972274,1.99966340277265
2011-01-18,57.55,55.3553504669894,2.19464953301064
2011-01-19,57.69,55.4388181783476,2.25118182165239
2011-01-20,57.26,55.5207377701356,1.7392622298644
2011-01-21,57.56,55.6011082117384,1.9588917882616
2011-01-24,57.18,55.6799291914807,1.50007080851928
2011-01-25,55.78,55.7572012074165,0.0227987925835477
2011-01-26,56.7,55.8329253776645,0.86707462233552
2011-01-27,57.41,55.907102829773,1.50289717022698
2011-01-28,57.27,55.9797350496974,1.29026495030256
2011-01-31,57.88,56.0508241446353,1.82917585536466
2011-02-01,58.6,56.1203727551278,2.47962724487225
2011-02-02,59.21,56.1883842778211,3.02161572217887
2011-02-03,58.79,56.2548631343399,2.53513686566013
2011-02-04,58.99,56.3198149953272,2.67018500467279
2011-02-07,58.41,56.3832465793461,2.02675342065392
2011-02-08,58.82,56.4451657087074,2.37483429129262
2011-02-09,59.63,56.5055810435,3.12441895650005
2011-02-10,58.96,56.564502225474,2.395497774526
2011-02-11,58.54,56.6219401878892,1.91805981211081
2011-02-14,58.28,56.6779068542082,1.60209314579181
2011-02-15,57.13,56.7324149407421,0.397585059257918
2011-02-16,57.2,56.7854778260423,0.414522173957713
2011-02-17,58.87,56.8371090530071,2.0328909469929
2011-02-18,57.12,56.8873223358799,0.23267766412009
2011-02-22,54.62,56.9361322292191,-2.31613222921908
2011-02-23,55.7,56.9835533837631,-1.28355338376313
2011-02-24,55.28,57.0295994928564,-1.7495994928564
2011-02-25,57.58,57.0742837192723,0.505716280727742
2011-02-28,57.33,57.1176185025722,0.212381497427813
2011-03-01,57.6,57.1596164913575,0.440383508642528
2011-03-02,58.8,57.2002904220196,1.59970957798038
2011-03-03,58.77,57.2396532129903,1.53034678700971
2011-03-04,59.48,57.2777184439533,2.20228155604671
2011-03-07,59.1,57.3145003271776,1.78549967282237
2011-03-08,58.48,57.3500139852681,1.12998601473189
2011-03-09,57.12,57.3842752788797,-0.264275278879722
2011-03-10,56.93,57.4173005357617,-0.48730053576172
2011-03-11,55.9,57.449105974421,-1.54910597442104
2011-03-14,55.38,57.4797076119352,-2.09970761193523
2011-03-15,52.88,57.5091208250421,-4.62912082504212
2011-03-16,52.96,57.5373601225453,-4.57736012254532
2011-03-17,54.52,57.5644380997573,-3.04443809975725
2011-03-18,55.77,57.5903654598926,-1.82036545989258
2011-03-21,55.88,57.6151516477163,-1.73515164771628
2011-03-22,55.86,57.6388053555313,-1.7788053555313
2011-03-23,55.48,57.6613345583949,-2.18133455839486
2011-03-24,56.12,57.6827464960798,-1.56274649607979
2011-03-25,56.84,57.7030475066814,-0.863047506681422
2011-03-28,56.53,57.722243282321,-1.19224328232103
2011-03-29,57.02,57.7403391583692,-0.720339158369185
2011-03-30,57.32,57.7573399773693,-0.437339977369347
2011-03-31,58.78,57.7732502841084,1.00674971589161
2011-04-01,58.68,57.7880744425944,0.89192555740556
2011-04-04,58.88,57.8018172329826,1.07818276701739
2011-04-05,58.85,57.8144838041168,1.0355161958832
2011-04-06,58.78,57.8260797505168,0.953920249483239
2011-04-07,58.32,57.8366110947447,0.483388905255291
2011-04-08,60.25,57.8460842536744,2.40391574632555
2011-04-11,59.4,57.8545058439922,1.54549415600784
2011-04-12,57.93,57.8618834760688,0.0681165239311748
2011-04-13,58.03,57.8682253991161,0.161774600883866
