"SPXDate","SPXClose","SPX_hpft","SPX_hpfc"
2011-05-02,1361.22,1306.63121448475,54.5887855152547
2011-05-03,1356.62,1306.30152898461,50.3184710153902
2011-05-04,1347.32,1305.94871688207,41.3712831179275
2011-05-05,1335.1,1305.57296086788,29.5270391321163
2011-05-06,1340.2,1305.174460734,35.0255392659959
2011-05-09,1346.29,1304.75342847767,41.5365715223326
2011-05-10,1357.16,1304.31009057426,52.8499094257356
2011-05-11,1342.08,1303.84469066879,38.2353093312053
2011-05-12,1348.65,1303.35749425217,45.2925057478326
2011-05-13,1337.77,1302.84878262036,34.9212173796448
2011-05-16,1329.47,1302.31885579136,27.1511442086382
2011-05-17,1328.98,1301.76802821826,27.2119717817419
2011-05-18,1340.68,1301.19662557722,39.4833744227789
2011-05-19,1343.6,1300.60498479288,42.9950152071175
2011-05-20,1333.27,1299.99345911059,33.2765408894114
2011-05-23,1317.37,1299.3624195482,18.0075804518003
2011-05-24,1316.28,1298.71225087869,17.5677491213078
2011-05-25,1320.47,1298.04334531868,22.4266546813246
2011-05-26,1325.69,1297.35610234658,28.333897653417
2011-05-27,1331.1,1296.65093071113,34.4490692888705
2011-05-30,1331.1,1295.92825087306,35.1717491269399
2011-05-31,1345.2,1295.18849753305,50.0115024669507
2011-06-01,1314.55,1294.43211993032,20.1178800696842
2011-06-02,1312.94,1293.65958797686,19.2804120231352
2011-06-03,1300.16,1292.87137990053,7.28862009946956
2011-06-06,1286.17,1292.06798189906,-5.89798189905573
2011-06-07,1284.94,1291.24988318287,-6.3098831828662
2011-06-08,1279.56,1290.41757052443,-10.8575705244337
2011-06-09,1289,1289.57152808798,-0.571528087982087
2011-06-10,1270.98,1288.71223554969,-17.7322355496926
2011-06-13,1271.83,1287.84017234944,-16.0101723494417
2011-06-14,1287.87,1286.95581059732,0.914189402675736
2011-06-15,1265.42,1286.05961578548,-20.6396157854829
2011-06-16,1267.64,1285.15205378396,-17.5120537839609
