"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2021-04-07,1975,2091.7030978973,-116.703097897303
2021-04-08,1976,2096.02083253842,-120.020832538424
2021-04-09,2012,2100.35553348574,-88.3555334857369
2021-04-12,1991,2104.70662085184,-113.706620851839
2021-04-13,2009,2109.07347822678,-100.073478226777
2021-04-14,2036,2113.45544219877,-77.4554421987694
2021-04-15,2040,2117.85180798976,-77.8518079897561
2021-04-16,2056,2122.26183880463,-66.2618388046348
2021-04-19,2061,2126.68476566753,-65.6847656675284
2021-04-20,2040,2131.11979221259,-91.1197922125858
2021-04-21,2052,2135.56609492253,-83.5660949225319
2021-04-22,2097,2140.02281261479,-43.0228126147921
2021-04-23,2092,2144.48904956395,-52.4890495639499
2021-04-26,2063,2148.96389226069,-85.9638922606909
2021-04-27,2106,2153.44640549883,-47.446405498833
2021-04-28,2103,2157.93561853819,-54.9356185381883
2021-04-29,2115,2162.43054102612,-47.4305410261206
2021-04-30,2129,2166.93015990183,-37.930159901826
2021-05-06,2146,2171.43344249861,-25.4334424986071
2021-05-07,2122,2175.93934047098,-53.9393404709791
2021-05-10,2180,2180.44679496029,-0.446794960289658
2021-05-11,2245,2184.95472481154,60.0452751884651
2021-05-12,2279,2189.46204868502,89.5379513149779
2021-05-13,2294,2193.96771006136,100.032289938639
2021-05-14,2216,2198.47068943255,17.529310567449
2021-05-17,2267,2202.97000863991,64.0299913600872
2021-05-18,2340,2207.46469677068,132.535303229316
2021-05-19,2282,2211.95380937953,70.0461906204741
2021-05-20,2294,2216.43645680586,77.5635431941418
2021-05-21,2282,2220.91177834339,61.0882216566086
2021-05-24,2267,2225.37894534748,41.6210546525152
2021-05-25,2238,2229.83715442488,8.16284557511564
2021-05-26,2262,2234.28561938685,27.7143806131537
2021-05-27,2199,2238.72355741878,-39.7235574187842
2021-05-28,2292,2243.15019716213,48.8498028378661
2021-05-31,2346,2247.56475083823,98.4352491617728
2021-06-01,2345,2251.96645086093,93.0335491390734
2021-06-02,2374,2256.35457033328,117.645429666716
2021-06-03,2497,2260.72842081466,236.271579185343
2021-06-04,2439,2265.0873624943,173.912637505703
2021-06-07,2417,2269.43085322663,147.569146773373
2021-06-08,2383,2273.75842275457,109.241577245425
2021-06-09,2354,2278.06966182019,75.9303381798144
2021-06-10,2292,2282.36420632162,9.63579367837699
2021-06-11,2316,2286.64172354358,29.358276456419
2021-06-15,2261,2290.90188475379,-29.9018847537859
2021-06-16,2172,2295.14437335554,-123.14437335554
2021-06-17,2161,2299.36886039184,-138.368860391837
2021-06-18,2129,2303.57496600279,-174.574966002791
2021-06-21,2207,2307.76225313235,-100.762253132355
2021-06-22,2201,2311.93021256232,-110.930212562322
2021-06-23,2257,2316.07829342324,-59.0782934232434
2021-06-24,2318,2320.20589899176,-2.20589899175789
2021-06-25,2301,2324.31240812375,-23.31240812375
2021-06-28,2227,2328.39719876342,-101.397198763418
2021-06-29,2254,2332.45963921846,-78.4596392184602
2021-06-30,2315,2336.49905588305,-21.4990558830459
2021-07-01,2316,2340.51474271937,-24.5147427193671
2021-07-02,2303,2344.5059848027,-41.5059848027011
2021-07-05,2245,2348.47205707497,-103.472057074969
2021-07-06,2314,2352.41221732106,-38.4122173210622
2021-07-07,2293,2356.32568055482,-63.3256805548165
2021-07-08,2305,2360.21164591197,-55.2116459119727
2021-07-09,2343,2364.06928635197,-21.0692863519675
2021-07-12,2395,2367.89775201198,27.1022479880194
2021-07-13,2407,2371.69618431995,35.303815680053
2021-07-14,2434,2375.46373590681,58.5362640931943
2021-07-15,2410,2379.19957399672,30.8004260032826
2021-07-16,2458,2382.90289001034,75.0971099896606
2021-07-19,2525,2386.57288809988,138.427111900116
2021-07-20,2504,2390.20880345988,113.791196540125
2021-07-21,2517,2393.80992850496,123.190071495043
2021-07-22,2498,2397.37560268656,100.624397313443
2021-07-23,2550,2400.90521637767,149.094783622334
2021-07-26,2546,2404.39820154576,141.601798454244
2021-07-27,2548,2407.85405178772,140.145948212281
2021-07-28,2577,2411.27231923314,165.727680766858
2021-07-29,2561,2414.6526139423,146.347386057702
2021-07-30,2528,2417.99461448045,110.00538551955
2021-08-02,2503,2421.29805990716,81.7019400928396
2021-08-03,2494,2424.5627347538,69.4372652462047
2021-08-04,2556,2427.78845732392,128.21154267608
2021-08-05,2507,2430.97507462376,76.0249253762413
2021-08-06,2554,2434.12248665704,119.877513342961
2021-08-09,2549,2437.23062485291,111.769375147088
2021-08-10,2555,2440.29947019339,114.700529806611
2021-08-11,2562,2443.32904986124,118.670950138758
2021-08-12,2465,2446.31943845193,18.6805615480657
2021-08-13,2337,2449.27075961477,-112.27075961477
2021-08-16,2339,2452.18314472071,-113.183144720709
2021-08-17,2347,2455.05667873245,-108.056678732455
2021-08-18,2364,2457.89139982743,-93.8913998274288
2021-08-19,2348,2460.68730151696,-112.687301516956
2021-08-20,2264,2463.44433850109,-199.44433850109
2021-08-23,2272,2466.16241889976,-194.162418899765
2021-08-24,2257,2468.84136839053,-211.841368390527
2021-08-25,2180,2471.48093239193,-291.480932391932
2021-08-26,2198,2474.08076875596,-276.080768755956
2021-08-27,2220,2476.64041484799,-256.640414847989
2021-08-30,2346,2479.15929391273,-133.15929391273
2021-08-31,2351,2481.63672311018,-130.636723110177
2021-09-01,2371,2484.07196455752,-113.07196455752
2021-09-02,2372,2486.46422637192,-114.464226371922
2021-09-03,2412,2488.81266993128,-76.8126699312757
2021-09-06,2436,2491.11640929844,-55.1164092984405
2021-09-07,2464,2493.37452678516,-29.3745267851641
2021-09-08,2476,2495.58608192011,-19.5860819201111
