"AUDUSDDate","AUDUSDClose","AUDUSD_hpft","AUDUSD_hpfc"
2022-02-14,0.71283,0.723485383536284,-0.0106553835362842
2022-02-15,0.71518,0.723427869017742,-0.0082478690177423
2022-02-16,0.71948,0.723368536148389,-0.00388853614838939
2022-02-17,0.71879,0.723307208570599,-0.00451720857059928
2022-02-18,0.71788,0.723243708319386,-0.00536370831938563
2022-02-21,0.71888,0.723177855562521,-0.00429785556252073
2022-02-22,0.72182,0.723109468250641,-0.00128946825064081
2022-02-23,0.72327,0.723038362557825,0.000231637442175259
2022-02-24,0.71618,0.722964354125133,-0.00678435412513309
2022-02-25,0.72307,0.722887258689379,0.000182741310620987
2022-02-28,0.72637,0.722806889182994,0.00356311081700573
2022-03-01,0.72541,0.722723058613948,0.00268694138605168
2022-03-02,0.72975,0.722635581463057,0.0071144185369427
2022-03-03,0.73281,0.722544273321804,0.0102657266781959
2022-03-04,0.7375,0.722448952722502,0.0150510472774977
2022-03-07,0.73147,0.722349442440888,0.00912055755911177
2022-03-08,0.72698,0.722245571474202,0.00473442852579784
2022-03-09,0.73219,0.722137172589765,0.0100528274102351
2022-03-10,0.73588,0.722024080511894,0.0138559194881057
2022-03-11,0.72915,0.721906134120378,0.00724386587962154
2022-03-14,0.71867,0.721783178022459,-0.00311317802245933
2022-03-15,0.71948,0.721655059819706,-0.00217505981970589
2022-03-16,0.72917,0.721521625826836,0.00764837417316399
2022-03-17,0.73756,0.721382721459471,0.0161772785405295
2022-03-18,0.74138,0.721238195294775,0.0201418047052251
2022-03-21,0.74001,0.721087902596938,0.0189220974030616
2022-03-22,0.74694,0.720931706955968,0.0260082930440316
2022-03-23,0.74998,0.720769479783507,0.029210520216493
2022-03-24,0.75133,0.720601103241966,0.0307288967580345
2022-03-25,0.75155,0.720426471568231,0.031123528431769
2022-03-28,0.74915,0.720245491701271,0.0289045082987288
2022-03-29,0.75079,0.720058083445276,0.0307319165547238
2022-03-30,0.75109,0.719864178552389,0.0312258214476112
2022-03-31,0.74835,0.719663721478083,0.0286862785219173
2022-04-01,0.74992,0.719456669585334,0.0304633304146658
2022-04-04,0.75446,0.719242992094887,0.0352170079051127
2022-04-05,0.75774,0.719022670819802,0.0387173291801983
2022-04-06,0.75099,0.71879570213042,0.0321942978695796
2022-04-07,0.74788,0.718562098401263,0.0293179015987372
2022-04-08,0.74602,0.718321885314706,0.0276981146852936
2022-04-11,0.74191,0.71807510067195,0.0238348993280498
2022-04-12,0.74538,0.717821793723472,0.027558206276528
2022-04-13,0.74539,0.717562023572169,0.0278279764278309
2022-04-14,0.74172,0.717295860712373,0.0244241392876268
2022-04-15,0.73952,0.717023387141377,0.0224966128586227
2022-04-18,0.73513,0.716744694952442,0.0183853050475579
2022-04-19,0.73767,0.716459885538017,0.0212101144619829
2022-04-20,0.74516,0.716169067890296,0.0289909321097043
2022-04-21,0.73696,0.71587235976889,0.0210876402311102
2022-04-22,0.72447,0.715569890917088,0.00890010908291227
2022-04-25,0.71813,0.71526179979497,0.00286820020502994
2022-04-26,0.71231,0.714948228541539,-0.00263822854153867
2022-04-27,0.71272,0.714629320481437,-0.00190932048143698
2022-04-28,0.70985,0.714305217848731,-0.00445521784873094
2022-04-29,0.70609,0.713976062088274,-0.00788606208827408
2022-05-02,0.70515,0.713641992803299,-0.00849199280329936
2022-05-03,0.70947,0.713303146337268,-0.00383314633726767
2022-05-04,0.72561,0.712959655523408,0.0126503444765921
2022-05-05,0.7114,0.712611651610433,-0.00121165161043351
2022-05-06,0.70766,0.712259271076236,-0.00459927107623608
2022-05-09,0.69474,0.711902649897855,-0.0171626498978549
2022-05-10,0.69403,0.71154192215117,-0.0175119221511697
2022-05-11,0.69402,0.711177214817718,-0.017157214817718
2022-05-12,0.68549,0.710808647640301,-0.0253186476403008
2022-05-13,0.69391,0.710436333269628,-0.0165263332696281
2022-05-16,0.69696,0.710060373890697,-0.0131003738906969
2022-05-17,0.703,0.709680864857175,-0.00668086485717488
2022-05-18,0.69531,0.709297896107569,-0.013987896107569
2022-05-19,0.70471,0.708911554818786,-0.00420155481878611
2022-05-20,0.7046,0.708521922385699,-0.00392192238569876
2022-05-23,0.71096,0.708129078466423,0.00283092153357672
2022-05-24,0.71079,0.707733101097909,0.00305689890209153
2022-05-25,0.70879,0.707334069487296,0.0014559305127038
2022-05-26,0.7099,0.70693206410533,0.00296793589467025
2022-05-27,0.71603,0.706527166024575,0.00950283397542511
2022-05-30,0.71974,0.70611945754442,0.0136205424555802
2022-05-31,0.71769,0.705709024892344,0.011980975107656
2022-06-01,0.71749,0.705295959926005,0.0121940400739953
2022-06-02,0.7266,0.70488035945552,0.0217196405444798
2022-06-03,0.72077,0.704462325331531,0.0163076746684689
2022-06-06,0.71945,0.704041968382709,0.0154080316172908
2022-06-07,0.72317,0.70361940617866,0.0195505938213403
