"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2019-02-27,50080,48482.0360305305,1597.96396946947
2019-02-28,50160,48473.4143793803,1686.58562061968
2019-03-01,50500,48464.6241392506,2035.37586074938
2019-03-04,50010,48455.659632332,1554.34036766803
2019-03-05,49880,48446.5160221573,1433.4839778427
2019-03-06,49840,48437.1891147619,1402.81088523805
2019-03-07,49210,48427.6753087251,782.324691274914
2019-03-08,49040,48417.971582492,622.028417507961
2019-03-11,49190,48408.0752378898,781.924762110236
2019-03-12,49450,48397.9838338659,1052.01616613406
2019-03-13,49340,48387.6952525851,952.304747414876
2019-03-14,49110,48377.2078110733,732.792188926716
2019-03-18,49350,48366.5202200005,983.479779999461
2019-03-19,49330,48355.6314929438,974.368507056219
2019-03-20,49190,48344.5410500105,845.458949989505
2019-03-21,49420,48333.2487140741,1086.75128592591
2019-03-22,48940,48321.7546574858,618.245342514209
2019-03-25,48120,48310.0595018165,-190.059501816451
2019-03-26,48230,48298.1641241944,-68.1641241944281
2019-03-27,48390,48286.0693231853,103.930676814687
2019-03-28,48360,48273.7758691786,86.2241308213815
2019-03-29,48800,48261.2845755243,538.715424475678
2019-04-01,49460,48248.5962912139,1211.40370878609
2019-04-02,49270,48235.7120879221,1034.28791207791
2019-04-03,49510,48222.6335380695,1287.36646193047
2019-04-04,49520,48209.3626416099,1310.63735839009
2019-04-08,49260,48195.9019306418,1064.09806935819
2019-04-09,49790,48182.2544790292,1607.74552097083
2019-04-10,49490,48168.4238004911,1321.57619950887
2019-04-11,49170,48154.4140733245,1015.58592667547
2019-04-12,49200,48140.2300221119,1059.7699778881
2019-04-15,49320,48125.8767912391,1194.12320876088
2019-04-16,49450,48111.3599631575,1338.6400368425
2019-04-17,49470,48096.6856139212,1373.31438607883
2019-04-18,49460,48081.8603729245,1378.13962707553
2019-04-19,49530,48066.8914372346,1463.10856276543
2019-04-22,49250,48051.7865735858,1198.2134264142
2019-04-23,49160,48036.5541535031,1123.44584649689
2019-04-24,48960,48021.2030438046,938.796956195424
2019-04-25,49180,48005.7425756956,1174.25742430441
2019-04-26,48970,47990.1824684425,979.8175315575
