"PP0Date","PP0Close","PP0_hpft","PP0_hpfc"
2020-12-24,8259,8347.76489080361,-88.7648908036073
2020-12-25,8109,8354.60783550779,-245.607835507792
2020-12-28,7975,8361.40875447569,-386.408754475685
2020-12-29,7923,8368.16845756543,-445.168457565434
2020-12-30,7955,8374.88759490923,-419.887594909226
2020-12-31,8057,8381.56663262472,-324.566632624718
2021-01-04,8032,8388.20586326482,-356.205863264816
2021-01-05,7995,8394.80544521957,-399.805445219569
2021-01-06,7938,8401.36538963791,-463.365389637916
2021-01-07,7906,8407.88554240538,-501.885542405377
2021-01-08,7775,8414.36555787074,-639.36555787074
2021-01-11,7810,8420.80488292361,-610.804882923614
2021-01-12,7857,8427.20270016537,-570.202700165374
2021-01-13,7969,8433.55793971546,-464.557939715456
2021-01-14,7925,8439.86929599428,-514.869295994281
2021-01-15,7977,8446.13527139281,-469.135271392814
2021-01-18,8213,8452.3541554756,-239.354155475603
2021-01-19,8130,8458.52404388563,-328.524043885626
2021-01-20,8033,8464.64293332655,-431.64293332655
2021-01-21,8105,8470.70868470329,-365.708684703289
2021-01-22,8170,8476.71898049693,-306.718980496927
