"USB05YUSDDate","USB05YUSDClose","USB05YUSD_hpft","USB05YUSD_hpfc"
2017-03-23,117.934,118.265750949697,-0.331750949697405
2017-03-24,117.957,118.267414121274,-0.310414121274361
2017-03-27,118.119,118.26931739116,-0.150317391159775
2017-03-28,117.872,118.27145124292,-0.399451242919915
2017-03-29,118.08,118.273806097986,-0.193806097985668
2017-03-30,117.895,118.276372212671,-0.381372212670986
2017-03-31,118.115,118.279139763178,-0.164139763177947
2017-04-03,118.449,118.282098768065,0.166901231935153
2017-04-04,118.275,118.285239178041,-0.0102391780409508
2017-04-05,118.443,118.288551012806,0.154448987193893
2017-04-06,118.423,118.292024287827,0.130975712172588
2017-04-07,118.121,118.295649082415,-0.174649082415466
2017-04-10,118.219,118.299415530021,-0.0804155300205401
2017-04-11,118.587,118.3033136919,0.2836863081001
2017-04-12,118.888,118.307333596071,0.580666403929362
2017-04-13,118.913,118.311465387814,0.601534612185827
2017-04-17,118.877,118.315699452436,0.56130054756413
2017-04-18,119.224,118.320026423892,0.903973576108399
2017-04-19,119.049,118.324437168156,0.724562831843784
2017-04-20,118.918,118.328922924871,0.589077075129053
2017-04-21,118.923,118.333475233182,0.589524766817955
2017-04-24,118.738,118.338085875737,0.399914124263391
2017-04-25,118.48,118.342746878868,0.137253121132441
2017-04-26,118.617,118.347450434216,0.26954956578375
2017-04-27,118.628,118.352188790159,0.275811209841086
2017-04-28,118.642,118.356954306493,0.285045693507237
2017-05-01,118.537,118.361739457024,0.175260542975739
2017-05-02,118.692,118.366536833386,0.325463166613618
2017-05-03,118.469,118.371339099658,0.0976609003423747
2017-05-04,118.308,118.37613905445,-0.068139054449938
2017-05-05,118.357,118.380929536744,-0.0239295367443938
2017-05-08,118.194,118.385703357356,-0.191703357356046
2017-05-09,118.135,118.390453317208,-0.255453317208479
2017-05-10,118.082,118.395172137983,-0.313172137982842
2017-05-11,118.167,118.399852435766,-0.232852435766141
2017-05-12,118.539,118.404486697193,0.134513302807414
2017-05-15,118.452,118.409067312645,0.0429326873554408
2017-05-16,118.525,118.413586728107,0.111413271893079
2017-05-17,118.984,118.418037407311,0.565962592689031
2017-05-18,118.878,118.422411860042,0.455588139957973
2017-05-19,118.843,118.426702830031,0.416297169968598
2017-05-22,118.793,118.430903249332,0.362096750667662
2017-05-23,118.625,118.435006222079,0.189993777921462
