"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2019-03-19,1939,1860.65360613761,78.3463938623879
2019-03-20,1935,1859.74065447042,75.25934552958
2019-03-21,1903.5,1858.82973621327,44.6702637867257
2019-03-22,1902.5,1857.92073785548,44.5792621445209
2019-03-25,1885,1857.01356435124,27.9864356487619
2019-03-26,1902,1856.10813908202,45.8918609179763
2019-03-27,1903,1855.20439699778,47.7956030022152
2019-03-28,1905,1854.30229201832,50.6977079816839
2019-03-29,1911,1853.40179782019,57.5982021798119
2019-04-01,1892,1852.50290903636,39.497090963636
2019-04-02,1883.5,1851.6056441086,31.8943558914035
2019-04-03,1896,1850.71003780514,45.2899621948579
2019-04-04,1909,1849.8161380781,59.1838619218981
2019-04-05,1882,1848.92401160062,33.0759883993794
2019-04-08,1872.5,1848.03374951008,24.4662504899192
2019-04-09,1878,1847.14545661615,30.854543383854
2019-04-10,1866.5,1846.25924784184,20.2407521581602
2019-04-11,1859,1845.37525086422,13.6247491357777
2019-04-12,1864,1844.49360172706,19.5063982729412
2019-04-15,1863,1843.61444210604,19.3855578939647
2019-04-16,1853.5,1842.73792174001,10.762078259989
2019-04-17,1852,1841.86419838104,10.135801618962
2019-04-18,1868,1840.99343422979,27.0065657702087
2019-04-23,1876,1840.12579567668,35.8742043233204
2019-04-24,1872,1839.26146027553,32.7385397244699
2019-04-25,1858.5,1838.40062040914,20.0993795908642
2019-04-26,1846.5,1837.54348199307,8.95651800692857
2019-04-29,1828,1836.6902592512,-8.69025925120248
2019-04-30,1804.5,1835.84117010964,-31.3411701096445
2019-05-01,1825.5,1834.99642890232,-9.49642890231502
2019-05-02,1818.5,1834.15623700795,-15.6562370079549
2019-05-03,1799,1833.32079187986,-34.3207918798587
2019-05-07,1818.5,1832.49028449967,-13.9902844996724
2019-05-08,1798,1831.6648916622,-33.6648916622014
2019-05-09,1806.5,1830.84478437922,-24.3447843792175
2019-05-10,1815,1830.03011974679,-15.0301197467915
2019-05-13,1811.5,1829.22104479784,-17.7210447978419
2019-05-14,1840,1828.41770035243,11.5822996475677
2019-05-15,1851.5,1827.62021990545,23.8797800945456
2019-05-16,1855,1826.82874173948,28.1712582605153
2019-05-17,1830,1826.04341400801,3.95658599198897
2019-05-20,1789.5,1825.2643965094,-35.7643965093999
2019-05-21,1793.5,1824.49185067751,-30.9918506775117
2019-05-22,1781,1823.72592316264,-42.7259231626381
2019-05-23,1797,1822.96674780428,-25.9667478042802
2019-05-24,1802,1822.21444078077,-20.2144407807669
2019-05-28,1805,1821.46910753682,-16.4691075368221
2019-05-29,1796,1820.73084516133,-24.7308451613306
2019-05-30,1781,1819.9997439355,-38.9997439355038
2019-05-31,1794,1819.27588391783,-25.2758839178301
2019-06-03,1774,1818.55932904585,-44.5593290458473
2019-06-04,1785,1817.85013280908,-32.8501328090799
2019-06-05,1766.5,1817.14833027803,-50.6483302780282
2019-06-06,1774,1816.45394294425,-42.4539429442452
2019-06-07,1761,1815.76697136331,-54.7669713633085
2019-06-10,1777,1815.08739854203,-38.0873985420322
2019-06-11,1778,1814.41518484879,-36.4151848487898
2019-06-12,1786.5,1813.75027490814,-27.2502749081359
2019-06-13,1786,1813.09259829207,-27.0925982920708
2019-06-14,1758,1812.44207330842,-54.44207330842
2019-06-17,1757.5,1811.79860706603,-54.2986070660309
2019-06-18,1778,1811.16208416955,-33.1620841695474
2019-06-19,1779,1810.53236677876,-31.5323667787615
2019-06-20,1782,1809.90930334561,-27.9093033456129
2019-06-21,1768,1809.29272928783,-41.2927292878255
2019-06-24,1800,1808.68246848654,-8.68246848654348
2019-06-25,1813,1808.07832775415,4.92167224584535
2019-06-26,1814,1807.48011031404,6.51988968595625
2019-06-27,1798.5,1806.88762142404,-8.38762142404431
2019-06-28,1794,1806.30066903704,-12.3006690370415
2019-07-01,1791.5,1805.7190576388,-14.2190576387961
2019-07-02,1779.5,1805.1425866305,-25.6425866304971
2019-07-03,1789,1804.57104953573,-15.5710495357332
2019-07-04,1809.5,1804.00422927847,5.49577072152783
2019-07-05,1804.5,1803.44190234625,1.05809765374762
2019-07-08,1804.5,1802.88384749832,1.61615250167833
2019-07-09,1820.5,1802.32984393132,18.1701560686819
2019-07-10,1850,1801.77967150993,48.2203284900668
2019-07-11,1821,1801.23311760967,19.7668823903345
2019-07-12,1828,1800.68998953835,27.3100104616474
2019-07-15,1843,1800.15010277467,42.8498972253271
2019-07-16,1844,1799.61328408616,44.38671591384
2019-07-17,1847,1799.07937795278,47.9206220472193
2019-07-18,1851,1798.54824720218,52.4517527978178
2019-07-19,1847,1798.01977447047,48.9802255295318
2019-07-22,1813.5,1797.49386407518,16.006135924816
2019-07-23,1821,1796.97044058034,24.0295594196617
2019-07-24,1824.5,1796.44943516623,28.050564833769
2019-07-25,1826.5,1795.93078894601,30.5692110539895
2019-07-26,1806.5,1795.4144546278,11.0855453722044
2019-07-29,1814.5,1794.90039755581,19.5996024441917
2019-07-30,1803.5,1794.38858765657,9.11141234343029
2019-07-31,1799.5,1793.8790029583,5.62099704170355
2019-08-01,1777,1793.3716252555,-16.3716252554983
2019-08-02,1773,1792.86643866618,-19.8664386661763
2019-08-05,1766,1792.36342054096,-26.3634205409551
2019-08-06,1762,1791.86254001849,-29.8625400184854
2019-08-07,1759,1791.36375533983,-32.3637553398262
2019-08-08,1781,1790.86701240207,-9.86701240207211
2019-08-09,1774,1790.37224372444,-16.3722437244401
2019-08-12,1770,1789.87937774752,-19.8793777475228
2019-08-13,1785.5,1789.38833614428,-3.8883361442805
2019-08-14,1784.5,1788.89903237034,-4.39903237034032
2019-08-15,1785,1788.41137827405,-3.41137827404765
2019-08-16,1797,1787.92528388537,9.07471611463061
2019-08-19,1792,1787.44065782414,4.55934217586109
2019-08-20,1782,1786.95741246132,-4.95741246131705
2019-08-21,1778.5,1786.47546205251,-7.97546205251171
2019-08-22,1767,1785.99471880413,-18.9947188041329
2019-08-23,1767.5,1785.51509162586,-18.0150916258606
2019-08-27,1760,1785.03648157572,-25.0364815757218
2019-08-28,1749,1784.55878226502,-35.558782265024
2019-08-29,1754,1784.081876956,-30.0818769560042
2019-08-30,1757,1783.60563421233,-26.6056342123262
2019-09-02,1749,1783.12991016302,-34.1299101630169
2019-09-03,1755,1782.6545499394,-27.6545499394034
2019-09-04,1769.5,1782.17938456488,-12.6793845648807
2019-09-05,1792,1781.70423363156,10.2957663684357
2019-09-06,1783,1781.22891149042,1.77108850957745
2019-09-09,1800,1780.75323674828,19.2467632517209
2019-09-10,1821,1780.27702874405,40.7229712559451
2019-09-11,1816.5,1779.80011477251,36.6998852274921
2019-09-12,1793.5,1779.32233896164,14.1776610383641
2019-09-13,1813,1778.84356060969,34.156439390307
2019-09-16,1787.5,1778.36364487541,9.13635512459253
2019-09-17,1793,1777.88247103641,15.1175289635889
2019-09-18,1792,1777.39992214693,14.6000778530693
2019-09-19,1795,1776.91588751017,18.0841124898258
2019-09-20,1785.5,1776.43026246443,9.06973753556603
2019-09-23,1785.5,1775.94294982325,9.55705017674969
2019-09-24,1762.5,1775.45385614922,-12.953856149223
2019-09-25,1753,1774.96289195546,-21.9628919554579
2019-09-26,1739,1774.46996240046,-35.469962400456
2019-09-27,1741,1773.97496356414,-32.9749635641414
2019-09-30,1718,1773.47777686458,-55.4777768645807
2019-10-01,1742,1772.97827008931,-30.9782700893145
2019-10-02,1712,1772.47628809361,-60.4762880936057
2019-10-03,1718,1771.97166292755,-53.9716629275457
2019-10-04,1726.5,1771.46420164276,-44.9642016427573
2019-10-07,1751,1770.95368898115,-19.9536889811503
2019-10-08,1744,1770.43989109824,-26.4398910982367
2019-10-09,1744.5,1769.92256590149,-25.4225659014888
2019-10-10,1750,1769.40146036918,-19.401460369185
2019-10-11,1720.5,1768.87631097093,-48.3763109709302
2019-10-14,1719,1768.34684615656,-49.3468461565567
2019-10-15,1729.5,1767.81277437907,-38.3127743790708
2019-10-16,1727.5,1767.27378369346,-39.7737836934588
2019-10-17,1728.5,1766.72954631777,-38.2295463177669
2019-10-18,1736.5,1766.17971802916,-29.6797180291633
2019-10-21,1724,1765.62393880224,-41.6239388022445
2019-10-22,1719,1765.06183634321,-46.0618363432127
2019-10-23,1726.5,1764.4930211526,-37.9930211526023
2019-10-24,1717,1763.91708469085,-46.9170846908479
2019-10-25,1734,1763.33360271358,-29.333602713576
2019-10-28,1736,1762.74213158279,-26.7421315827946
2019-10-29,1751,1762.14221553518,-11.1422155351778
2019-10-30,1751.5,1761.53338775327,-10.0333877532711
2019-10-31,1759,1760.91517681389,-1.91517681389048
2019-11-01,1789,1760.28710714643,28.7128928535737
2019-11-04,1810,1759.64870238864,50.3512976113557
2019-11-05,1809.5,1758.99949804704,50.5005019529557
2019-11-06,1803.5,1758.33905044132,45.1609495586766
2019-11-07,1810.5,1757.66693676609,52.8330632339059
2019-11-08,1807.5,1756.98275288363,50.5172471163748
