"CL00YDate","CL00YClose","CL00Y_hpft","CL00Y_hpfc"
2017-10-06,49.25,52.112563857264,-2.86256385726399
2017-10-09,49.56,52.2189902870002,-2.6589902870002
2017-10-10,50.94,52.3263870326653,-1.38638703266532
2017-10-11,51.02,52.4347295284237,-1.41472952842368
2017-10-12,50.74,52.5439926353668,-1.80399263536684
2017-10-13,51.42,52.6541506297948,-1.23415062979483
2017-10-16,51.92,52.7651770423059,-0.845177042305931
2017-10-17,51.94,52.8770448933514,-0.937044893351355
2017-10-18,52.25,52.9897268540231,-0.73972685402309
2017-10-19,51.59,53.1031952080721,-1.51319520807208
2017-10-20,52.07,53.2174219334793,-1.14742193347929
2017-10-23,51.86,53.3323783827283,-1.47237838272826
2017-10-24,52.53,53.4480354340068,-0.91803543400681
2017-10-25,52.17,53.5643633568803,-1.39436335688032
2017-10-26,52.82,53.6813320414358,-0.861332041435804
2017-10-27,54.19,53.7989108013855,0.391089198614483
2017-10-30,54.12,53.9170685944037,0.202931405596336
2017-10-31,54.64,54.0357745398225,0.604225460177475
2017-11-01,54.27,54.154997840859,0.115002159140958
2017-11-02,54.74,54.2747079504915,0.465292049508494
2017-11-03,55.7,54.3948743692373,1.30512563076267
2017-11-06,57.24,54.5154667899459,2.72453321005408
2017-11-07,56.94,54.6364554449538,2.30354455504617
2017-11-08,56.82,54.7578116928096,2.06218830719038
2017-11-09,57.03,54.8795078442557,2.15049215574435
2017-11-10,56.9,55.0015170624576,1.89848293754244
2017-11-13,56.73,55.1238133995102,1.60618660048982
2017-11-14,55,55.2463716922637,-0.246371692263687
2017-11-15,55.51,55.3691674415013,0.140832558498732
2017-11-16,55.47,55.4921760461668,-0.0221760461668104
2017-11-17,56.8,55.6153729634183,1.18462703658175
2017-11-20,56.38,55.7387336412461,0.641266358753859
2017-11-21,57.1,55.8622340173192,1.23776598268082
2017-11-22,58.06,55.9858502943795,2.07414970562049
2017-11-23,58.56,56.1095591868118,2.45044081318822
2017-11-24,58.97,56.233338266371,2.73666173362903
2017-11-27,57.85,56.3571661177255,1.49283388227446
2017-11-28,57.75,56.48102245677,1.26897754323001
2017-11-29,57.39,56.6048876164763,0.785112383523719
2017-11-30,57.42,56.7287424543606,0.691257545639389
2017-12-01,58.29,56.8525681524731,1.43743184752691
2017-12-04,57.44,56.976346178602,0.463653821398005
2017-12-05,57.48,57.1000585947119,0.379941405288048
2017-12-06,55.97,57.2236876544237,-1.25368765442375
2017-12-07,56.62,57.3472157684103,-0.727215768410252
2017-12-08,57.34,57.4706248291205,-0.130624829120493
2017-12-11,58.02,57.5938964284018,0.426103571598225
2017-12-12,57.45,57.7170121041062,-0.267012104106233
2017-12-13,56.67,57.8399535702205,-1.16995357022048
2017-12-14,57.2,57.9627024303583,-0.762702430358272
2017-12-15,57.39,58.0852398045222,-0.695239804522184
2017-12-18,57.35,58.2075464974443,-0.857546497444286
2017-12-19,57.66,58.329603026472,-0.669603026472012
2017-12-20,58.03,58.451389554478,-0.421389554478017
2017-12-21,58.23,58.5728859675481,-0.342885967548136
2017-12-22,58.35,58.6940719775817,-0.344071977581744
2017-12-25,58.35,58.8149271547445,-0.464927154744509
2017-12-26,59.8,58.9354309269757,0.864569073024287
2017-12-27,59.59,59.0555625300319,0.534437469968052
2017-12-28,59.89,59.1753015570491,0.714698442950919
2017-12-29,60.1,59.2946278220773,0.805372177922721
