"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2015-07-16,2071.5,1955.8957460489,115.604253951103
2015-07-17,2064,1951.78442038036,112.215579619639
2015-07-20,2049.5,1947.6515890979,101.848410902099
2015-07-21,2038,1943.49851911149,94.5014808885114
2015-07-22,2001.5,1939.32651943121,62.1734805687888
2015-07-23,1982,1935.13693813023,46.8630618697708
2015-07-24,1959,1930.93114898174,28.0688510182633
2015-07-27,1932.5,1926.71054513023,5.78945486976561
2015-07-28,1977,1922.47653132275,54.5234686772545
2015-07-29,1966.5,1918.23051469943,48.2694853005728
2015-07-30,1951,1913.97392493823,37.0260750617704
2015-07-31,1917,1909.70821166979,7.29178833020772
2015-08-03,1902.5,1905.43483982984,-2.93483982984321
2015-08-04,1918,1901.15527736823,16.8447226317707
2015-08-05,1896,1896.87099102165,-0.870991021651096
2015-08-06,1869,1892.58345448975,-23.5834544897503
2015-08-07,1861,1888.29414111213,-27.2941411121295
2015-08-10,1892,1884.00451447994,7.99548552005553
2015-08-11,1809.5,1879.71602690205,-70.216026902048
2015-08-12,1829,1875.43013399231,-46.4301339923054
2015-08-13,1829,1871.1482623401,-42.1482623400991
2015-08-14,1832,1866.87181934246,-34.8718193424641
2015-08-17,1814.5,1862.60219497404,-48.1021949740387
2015-08-18,1766,1858.34076479484,-92.3407647948433
2015-08-19,1782.5,1854.0888844814,-71.5888844813983
2015-08-20,1820,1849.84787154025,-29.8478715402515
2015-08-21,1765,1845.61901388599,-80.6190138859903
2015-08-24,1712.5,1841.40358709533,-128.903587095329
2015-08-25,1738,1837.20283342026,-99.202833420262
2015-08-26,1692,1833.01794182927,-141.017941829267
2015-08-27,1751,1828.85006028435,-77.8500602843483
2015-08-28,1805,1824.70027845634,-19.7002784563368
2015-09-01,1806.5,1820.56965383601,-14.0696538360132
2015-09-02,1814,1816.45923577085,-2.45923577084977
2015-09-03,1817,1812.37006779246,4.62993220753551
2015-09-04,1785,1808.30319241595,-23.3031924159504
2015-09-07,1773,1804.25965407024,-31.2596540702445
2015-09-08,1814,1800.24048755164,13.7595124483592
2015-09-09,1816,1796.24671473498,19.7532852650199
2015-09-10,1812,1792.27936318269,19.7206368173066
2015-09-11,1813,1788.3394686225,24.6605313775017
2015-09-14,1753,1784.42807493376,-31.4280749337648
2015-09-15,1736,1780.54623618955,-44.5462361895488
2015-09-16,1748,1776.69499347181,-28.6949934718097
2015-09-17,1726,1772.87536944891,-46.8753694489072
2015-09-18,1685.5,1769.08837492779,-83.5883749277944
2015-09-21,1659,1765.33500133905,-106.335001339053
2015-09-22,1629.5,1761.61620556121,-132.116205561209
2015-09-23,1648.5,1757.93290051817,-109.432900518173
2015-09-24,1678,1754.28594452229,-76.2859445222889
2015-09-25,1633,1750.67615065081,-117.676150650807
2015-09-28,1628.5,1747.10430044737,-118.604300447375
2015-09-29,1655,1743.57112681305,-88.5711268130524
2015-09-30,1692.5,1740.07731362266,-47.5773136226602
2015-10-01,1683.5,1736.62350813935,-53.1235081393457
2015-10-02,1691.5,1733.21033795964,-41.7103379596369
2015-10-05,1671.5,1729.83840872098,-58.3384087209819
2015-10-06,1653.5,1726.50830881937,-73.0083088193743
2015-10-07,1695.5,1723.22060253616,-27.7206025361595
2015-10-08,1670,1719.97582397387,-49.975823973874
2015-10-09,1844,1716.77449577658,127.225504223423
2015-10-12,1840.5,1713.61711993026,126.882880069743
2015-10-13,1817,1710.50425101086,106.495748989142
2015-10-14,1818.5,1707.43649604257,111.063503957432
2015-10-15,1828.5,1704.41450607065,124.085493929349
2015-10-16,1804.5,1701.43897804955,103.061021950453
2015-10-19,1793,1698.51066022566,94.4893397743366
2015-10-20,1774,1695.63034344669,78.3696565533123
2015-10-21,1728.5,1692.79885761841,35.7011423815946
2015-10-22,1747.5,1690.01706504147,57.4829349585307
2015-10-23,1750.5,1687.28584277396,63.214157226041
2015-10-26,1741.5,1684.60609163505,56.8939083649479
2015-10-27,1743.5,1681.97873857414,61.5212614258623
2015-10-28,1747.5,1679.40473405824,68.0952659417595
2015-10-29,1710.5,1676.88505398487,33.6149460151306
2015-10-30,1694,1674.42070239924,19.5792976007632
2015-11-02,1695.5,1672.01269724179,23.4873027582065
2015-11-03,1679,1669.66206454616,9.3379354538448
2015-11-04,1687,1667.36984005473,19.6301599452689
2015-11-05,1656.5,1665.13706336981,-8.63706336981362
2015-11-06,1662,1662.96478220794,-0.964782207941539
2015-11-09,1658,1660.85404071557,-2.85404071556883
2015-11-10,1594.5,1658.8058826403,-64.3058826402989
2015-11-11,1612,1656.82135054991,-44.8213505499066
2015-11-12,1616.5,1654.90146043086,-38.4014604308568
2015-11-13,1621.5,1653.04720974219,-31.547209742194
2015-11-16,1588.5,1651.25958006934,-62.7595800693404
2015-11-17,1568.5,1649.53953995732,-81.0395399573178
2015-11-18,1521.5,1647.88803200897,-126.38803200897
2015-11-19,1502.5,1646.30596532853,-143.805965328534
2015-11-20,1567,1644.79419677666,-77.7941967766626
2015-11-23,1531,1643.35352377032,-112.353523770325
2015-11-24,1573,1641.98471156943,-68.9847115694317
2015-11-25,1585,1640.68847899158,-55.6884789915795
2015-11-26,1609,1639.46551633875,-30.4655163387471
2015-11-27,1556.5,1638.31649089362,-81.8164908936222
2015-11-30,1554,1637.24205734571,-83.2420573457131
2015-12-01,1564,1636.24283656478,-72.2428365647799
2015-12-02,1561,1635.31941501163,-74.3194150116279
2015-12-03,1522,1634.4723492849,-112.472349284895
2015-12-04,1554,1633.7021652625,-79.702165262495
2015-12-07,1542,1633.00934233079,-91.0093423307936
2015-12-08,1526.5,1632.39432693059,-105.894326930589
2015-12-09,1537,1631.85752788294,-94.8575278829445
2015-12-10,1527,1631.3993102365,-104.399310236502
2015-12-11,1553,1631.01999982966,-78.0199998296622
2015-12-14,1546.5,1630.71987934627,-84.2198793462684
2015-12-15,1511.5,1630.49919921988,-118.999199219884
2015-12-16,1501.5,1630.35817507101,-128.858175071005
