"FU0Date","FU0Close","FU0_hpft","FU0_hpfc"
2012-12-25,5051,5033.97104601827,17.0289539817349
2012-12-26,5045,5035.80648877485,9.19351122514689
2012-12-27,5080,5037.62245419451,42.3775458054918
2012-12-28,5079,5039.41759987127,39.5824001287349
2012-12-31,5046,5041.19060091625,4.80939908374558
2013-01-04,5041,5042.9401488025,-1.94014880249744
2013-01-07,5089,5044.66493699079,44.3350630092081
2013-01-08,5133,5046.36365814021,86.6363418597877
2013-01-09,5107,5048.03502323613,58.9649767638748
2013-01-10,5099,5049.67777907579,49.3222209242107
2013-01-11,5060,5051.29069683025,8.7093031697524
2013-01-14,5082,5052.87256805839,29.1274319416138
2013-01-15,5092,5054.42218791911,37.5778120808949
2013-01-16,5119,5055.93836361149,63.0616363885078
2013-01-17,5089,5057.41991786777,31.5800821322305
2013-01-18,5134,5058.86569948726,75.1343005127425
2013-01-21,5169,5060.27457032316,108.725429676835
2013-01-22,5123,5061.6454232864,61.3545767135983
2013-01-23,5115,5062.97719623043,52.0228037695704
2013-01-24,5133,5064.2688523703,68.7311476297035
2013-01-25,5067,5065.51937642512,1.48062357487664
2013-01-28,5100,5066.72778152478,33.2722184752193
2013-01-29,5151,5067.89308141116,83.1069185888435
2013-01-30,5220,5069.01430357956,150.985696420441
2013-01-31,5204,5070.09050987834,133.909490121658
2013-02-01,5225,5071.12082456726,153.879175432736
2013-02-04,5300,5072.10442725881,227.895572741189
2013-02-05,5232,5073.04056117312,158.959438826882
2013-02-06,5225,5073.92856373294,151.071436267061
2013-02-07,5225,5074.7678380687,150.232161931297
2013-02-08,5243,5075.55784975739,167.442150242608
2013-02-18,5197,5076.29812647628,120.70187352372
2013-02-19,5218,5076.98826511629,141.011734883715
2013-02-20,5213,5077.62791246157,135.372087538431
2013-02-21,5190,5078.21677358513,111.78322641487
2013-02-22,5192,5078.75460951707,113.245390482926
2013-02-25,5170,5079.24122749439,90.7587725056105
2013-02-26,5170,5079.67648156498,90.3235184350243
2013-02-27,5189,5080.06026329297,108.939736707025
2013-02-28,5180,5080.39250157846,99.6074984215415
2013-03-01,5171,5080.67317035297,90.3268296470273
2013-03-04,5135,5080.90228472167,54.0977152783309
2013-03-05,5150,5081.07989712715,68.9201028728509
2013-03-06,5150,5081.20608237387,68.7939176261273
2013-03-07,5155,5081.28094375515,73.7190562448533
2013-03-08,5168,5081.304613001,86.6953869989993
2013-03-11,5164,5081.27725231381,82.7227476861913
2013-03-12,5157,5081.19905973229,75.8009402677087
2013-03-13,5157,5081.07026748955,75.9297325104465
2013-03-14,5179,5080.8911391517,98.1088608483015
2013-03-15,5175,5080.66196967116,94.3380303288364
2013-03-18,5153,5080.38309455462,72.6169054453852
2013-03-19,5186,5080.05488830428,105.945111695716
2013-03-20,5175,5079.67775543919,95.3222445608126
2013-03-21,5175,5079.25214427201,95.7478557279918
2013-03-22,5126,5078.7785425177,47.2214574823028
2013-03-25,5150,5078.25747746954,71.7425225304557
2013-03-26,5153,5077.68949594022,75.3105040597821
2013-03-27,5153,5077.07517439797,75.9248256020309
2013-03-28,5153,5076.41512044133,76.5848795586728
2013-03-29,5145,5075.70997305311,69.2900269468878
2013-04-01,5115,5074.96040287315,40.0395971268453
2013-04-02,5124,5074.16710918321,49.8328908167935
