"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2011-05-13,31510,34896.5212772199,-3386.52127721986
2011-05-16,31205,34855.8795726793,-3650.87957267932
2011-05-17,31570,34815.1512342362,-3245.15123423618
2011-05-18,31320,34774.3432424937,-3454.34324249365
2011-05-19,31580,34733.4612366397,-3153.46123663968
2011-05-20,31485,34692.5094279758,-3207.50942797585
2011-05-23,30830,34651.4907242896,-3821.49072428964
2011-05-24,31615,34610.4067075133,-2995.40670751334
2011-05-25,32295,34569.2573799282,-2274.25737992824
2011-05-26,32690,34528.0415056351,-1838.04150563513
2011-05-27,32750,34486.7569086487,-1736.75690864865
2011-05-30,32555,34445.4006532103,-1890.40065321025
2011-05-31,32850,34403.9690856563,-1553.96908565633
2011-06-01,32585,34362.4577709077,-1777.45777090771
2011-06-02,32450,34320.8616315365,-1870.86163153651
2011-06-03,33365,34279.1748553858,-914.17485538576
2011-06-07,33410,34237.3908569592,-827.39085695923
2011-06-08,33040,34195.5026728775,-1155.50267287746
2011-06-09,33035,34153.5029977513,-1118.5029977513
2011-06-10,33045,34111.3840485529,-1066.38404855294
2011-06-13,32685,34069.1375799104,-1384.13757991045
2011-06-14,32770,34026.7549056517,-1256.75490565167
2011-06-15,33500,33984.2267674575,-484.22676745755
2011-06-16,33110,33941.5433875171,-831.543387517147
2011-06-17,33405,33898.6947878598,-493.694787859767
2011-06-20,33290,33855.6706467879,-565.670646787862
2011-06-21,33310,33812.4604385302,-502.460438530163
2011-06-22,32390,33769.0534034906,-1379.05340349059
2011-06-23,32090,33725.4385743759,-1635.43857437585
2011-06-24,32150,33681.6044138467,-1531.60441384667
2011-06-27,30725,33637.5387085401,-2912.53870854014
2011-06-28,30700,33593.2286119898,-2893.22861198982
2011-06-29,31060,33548.6600738021,-2488.66007380214
2011-06-30,31865,33503.8178476395,-1638.81784763949
2011-07-01,31935,33458.6856584526,-1523.68565845262
2011-07-04,33130,33413.2465537704,-283.246553770446
2011-07-05,33765,33367.4829512909,397.517048709084
2011-07-06,34065,33321.3771516305,743.622848369544
2011-07-07,34180,33274.9116197232,905.08838027681
2011-07-08,34345,33228.0691278854,1116.93087211459
2011-07-11,33665,33180.8328225612,484.167177438797
2011-07-12,33825,33133.1863118894,691.813688110634
2011-07-13,35000,33085.1134041446,1914.88659585541
2011-07-14,35380,33036.5981935685,2343.40180643155
2011-07-15,35370,32987.6255659398,2382.37443406023
2011-07-18,35115,32938.1813757052,2176.81862429484
2011-07-19,35855,32888.2524620904,2966.74753790956
2011-07-20,35870,32837.8265641286,3032.17343587137
2011-07-21,35965,32786.8926471883,3178.10735281169
2011-07-22,36110,32735.4409300168,3374.55906998316
2011-07-25,35690,32683.4629450624,3006.53705493763
2011-07-26,36340,32630.9516196803,3709.04838031973
2011-07-27,36280,32577.9011240089,3702.09887599113
2011-07-28,35540,32524.3071613554,3015.69283864455
2011-07-29,35450,32470.1669653281,2979.83303467188
2011-08-01,36190,32415.4790161004,3774.5209838996
2011-08-02,35725,32360.2430255883,3364.75697441169
2011-08-03,35685,32304.4602659444,3380.53973405556
2011-08-04,35680,32248.1334001761,3431.86659982394
2011-08-05,33705,32191.2664886693,1513.7335113307
2011-08-08,33690,32133.865010406,1556.13498959397
2011-08-09,32785,32075.9350700855,709.064929914487
2011-08-10,33030,32017.4834156488,1012.51658435119
2011-08-11,34170,31958.5170881377,2211.48291186228
2011-08-12,34295,31899.0435471274,2395.9564528726
2011-08-15,34310,31839.0711663301,2470.9288336699
2011-08-16,33785,31778.6093098515,2006.39069014847
2011-08-17,34100,31717.6683631791,2382.33163682094
2011-08-18,33745,31656.2595411613,2088.74045883869
2011-08-19,33490,31594.3950434064,1895.60495659364
2011-08-22,32850,31532.0879329252,1317.9120670748
2011-08-23,33120,31469.3520562945,1650.64794370551
2011-08-24,33105,31406.2018048637,1698.79819513626
2011-08-25,33180,31342.6522522928,1837.34774770723
2011-08-26,33045,31278.7191744564,1766.2808255436
2011-08-29,33155,31214.4191067167,1940.5808932833
2011-08-30,34075,31149.7693145439,2925.23068545608
2011-08-31,34240,31084.7878655659,3155.21213443407
2011-09-01,33940,31019.4940365842,2920.50596341578
2011-09-02,33750,30953.9084086377,2796.09159136232
2011-09-05,32795,30888.0527699847,1906.94723001526
2011-09-06,32910,30821.9500646767,2088.04993532327
2011-09-07,33835,30755.6240250191,3079.37597498094
2011-09-08,33765,30689.0992464341,3075.90075356594
2011-09-09,34095,30622.4015972334,3472.59840276662
2011-09-13,33680,30555.5582171829,3124.44178281713
2011-09-14,32950,30488.5976814806,2461.40231851936
2011-09-15,33065,30421.5498568437,2643.45014315634
2011-09-16,33680,30354.4456274335,3325.55437256646
2011-09-19,31925,30287.3169701077,1637.68302989227
2011-09-20,31805,30220.1972363743,1584.80276362569
2011-09-21,32060,30153.1204546935,1906.8795453065
2011-09-22,30400,30086.1213086193,313.878691380653
2011-09-23,28735,30019.2352699334,-1284.23526993339
2011-09-26,27465,29952.4979401617,-2487.49794016169
2011-09-27,28250,29885.9443899795,-1635.94438997947
2011-09-28,27540,29819.60866183,-2279.60866183
2011-09-29,26635,29753.5241219226,-3118.52412192261
2011-09-30,27775,29687.7231941692,-1912.72319416917
2011-10-10,27825,29622.2370134077,-1797.2370134077
2011-10-11,28220,29557.0959238349,-1337.09592383489
2011-10-12,28900,29492.3295267406,-592.32952674063
2011-10-13,28535,29427.9668707137,-892.966870713737
2011-10-14,28870,29364.0367594971,-494.036759497079
2011-10-17,28700,29300.5676277177,-600.567627717659
2011-10-18,27300,29237.5877057881,-1937.58770578806
2011-10-19,26615,29175.1249758695,-2560.12497586953
2011-10-20,25445,29113.2066192029,-3668.20661920295
2011-10-21,24715,29051.8587587755,-4336.85875877553
2011-10-24,26320,28991.1060012865,-2671.10600128654
2011-10-25,26650,28930.9711607518,-2280.97116075175
2011-10-26,26850,28871.4759470585,-2021.47594705852
2011-10-27,27615,28812.6411272326,-1197.64112723262
2011-10-28,27815,28754.4866327035,-939.486632703519
2011-10-31,27105,28697.0318998436,-1592.03189984359
2011-11-01,26410,28640.29597668,-2230.29597668004
2011-11-02,26970,28584.2972531568,-1614.29725315676
2011-11-03,25810,28529.0531973055,-2719.05319730547
2011-11-04,27410,28474.5806098682,-1064.58060986823
2011-11-07,26540,28420.8951676436,-1880.89516764364
2011-11-08,26050,28368.0121073752,-2318.01210737521
2011-11-09,25660,28315.945888317,-2655.945888317
2011-11-10,24490,28264.7100115524,-3774.71001155238
2011-11-11,24140,28214.3168803031,-4074.31688030313
2011-11-14,25675,28164.7773374778,-2489.77733747781
2011-11-15,25650,28116.1005418254,-2466.10054182543
2011-11-16,25005,28068.294622922,-3063.29462292198
2011-11-17,25850,28021.3666909568,-2171.36669095678
2011-11-18,25320,27975.3225898757,-2655.32258987567
2011-11-21,24600,27930.1672660681,-3330.16726606806
2011-11-22,24830,27885.9045683202,-3055.90456832019
2011-11-23,24705,27842.5369688645,-3137.53696886449
2011-11-24,24845,27800.0656767407,-2955.06567674068
2011-11-25,24455,27758.4906040607,-3303.49060406069
2011-11-28,25085,27717.8104414278,-2632.81044142784
2011-11-29,25160,27678.022513916,-2518.02251391601
2011-11-30,24790,27639.1230583023,-2849.12305830231
2011-12-01,25925,27601.1072705136,-1676.10727051359
2011-12-02,25900,27563.9691687651,-1663.96916876515
2011-12-05,26025,27527.7020784336,-1502.70207843361
2011-12-06,26090,27492.2986370817,-1402.2986370817
2011-12-07,26730,27457.7508611149,-727.750861114937
2011-12-08,26615,27424.0501872831,-809.050187283054
2011-12-09,26085,27391.1877515138,-1306.18775151384
2011-12-12,25735,27359.1543553057,-1624.15435530567
2011-12-13,25400,27327.9402602323,-1927.94026023226
2011-12-14,25470,27297.5350565065,-1827.53505650649
2011-12-15,24395,27267.9275374077,-2872.92753740771
2011-12-16,24970,27239.1057407871,-2269.10574078713
2011-12-19,24685,27211.0565169439,-2526.05651694391
2011-12-20,24915,27183.7657782162,-2268.7657782162
2011-12-21,25275,27157.218392777,-1882.21839277697
2011-12-22,25225,27131.3982909801,-1906.39829098006
2011-12-23,25575,27106.2886251472,-1531.28862514723
2011-12-26,25045,27081.8717595694,-2036.87175956944
2011-12-27,24885,27058.1294255663,-2173.12942556629
