"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2020-06-05,13180,13334.9020401229,-154.902040122905
2020-06-08,13420,13348.4817246351,71.5182753649493
2020-06-09,13555,13362.2766444486,192.723355551363
2020-06-10,13670,13376.2785783904,293.721421609581
2020-06-11,13535,13390.4793849518,144.520615048163
2020-06-12,13625,13404.8710440363,220.128955963708
2020-06-15,13605,13419.4455952865,185.554404713539
2020-06-16,13875,13434.1951693377,440.804830662271
2020-06-17,13840,13449.1119735256,390.888026474429
2020-06-18,13745,13464.1883973973,280.811602602675
2020-06-19,13620,13479.4169920773,140.583007922709
2020-06-22,13695,13494.790424766,200.209575234017
2020-06-23,13655,13510.3014207748,144.698579225209
2020-06-24,13605,13525.9427881743,79.0572118256829
2020-06-29,13775,13541.7073948477,233.292605152327
2020-06-30,13830,13557.5881413568,272.411858643202
2020-07-01,14030,13573.5780246977,456.421975302319
2020-07-02,13965,13589.6701544702,375.329845529811
2020-07-03,14055,13605.8578289407,449.142171059319
2020-07-06,14125,13622.1345015221,502.865498477879
2020-07-07,14060,13638.4938112844,421.506188715556
2020-07-08,14150,13654.9296051621,495.070394837935
2020-07-09,14290,13671.4359043231,618.564095676883
2020-07-10,14375,13688.0069345779,686.993065422068
2020-07-13,14730,13704.6371774264,1025.36282257362
2020-07-14,14485,13721.3213983435,763.678601656465
2020-07-15,14475,13738.0547866484,736.945213351595
2020-07-16,13975,13754.8328473339,220.167152666135
2020-07-17,14155,13771.6513900165,383.348609983535
2020-07-20,14245,13788.5063153208,456.493684679228
2020-07-21,14245,13805.3936823325,439.606317667533
2020-07-22,14390,13822.3097388333,567.690261166748
2020-07-23,14395,13839.2509143205,555.749085679523
2020-07-24,14405,13856.2138729517,548.786127048259
2020-07-27,14440,13873.195508609,566.80449139103
2020-07-28,14525,13890.1929420198,634.807057980212
2020-07-29,14505,13907.2035282069,597.796471793058
2020-07-30,14720,13924.2248845964,795.775115403588
2020-07-31,14685,13941.2548757192,743.745124280822
2020-08-03,14600,13958.2916950477,641.708304952335
2020-08-04,14695,13975.3338434886,719.666156511364
2020-08-05,14660,13992.3800872053,667.619912794749
2020-08-06,14505,14009.4294898417,495.570510158268
2020-08-07,14555,14026.4813910095,528.518608990488
2020-08-10,14355,14043.535335169,311.464664831046
2020-08-11,14220,14060.5910852488,159.408914751239
2020-08-12,14235,14077.6485329246,157.351467075404
2020-08-13,14360,14094.7076357654,265.292364234629
2020-08-14,14405,14111.7684163828,293.231583617242
2020-08-17,14405,14128.8310070496,276.168992950371
2020-08-18,14435,14145.895661249,289.104338751009
