"L0Date","L0Close","L0_hpft","L0_hpfc"
2018-08-23,9610,9302.64708975463,307.352910245369
2018-08-24,9560,9299.15054921903,260.84945078097
2018-08-27,9590,9295.54604706402,294.453952935976
2018-08-28,9555,9291.83284440696,263.16715559304
2018-08-29,9495,9288.01032408109,206.989675918905
2018-08-30,9515,9284.07797770172,230.92202229828
2018-08-31,9380,9280.03538244628,99.9646175537228
2018-09-03,9305,9275.88221094519,29.1177890548088
2018-09-04,9340,9271.61817715086,68.381822849136
2018-09-05,9320,9267.24300705146,52.7569929485381
2018-09-06,9335,9262.75645490157,72.2435450984261
2018-09-07,9340,9258.15829676348,81.8417032365236
2018-09-10,9395,9253.4483385619,141.551661438098
2018-09-11,9295,9248.62642005157,46.3735799484345
2018-09-12,9330,9243.69243949928,86.3075605007161
2018-09-13,9355,9238.64631434068,116.353685659324
2018-09-14,9395,9233.48799768735,161.512002312651
2018-09-17,9410,9228.21749074665,181.782509253351
2018-09-18,9475,9222.83486148897,252.165138511032
2018-09-19,9530,9217.34025302604,312.659746973955
2018-09-20,9565,9211.73391270448,353.266087295518
2018-09-21,9510,9206.01621711174,303.983782888256
2018-09-25,9545,9200.18768886186,344.812311138136
2018-09-26,9445,9194.24897622273,250.751023777269
2018-09-27,9470,9188.20086999437,281.79913000563
2018-09-28,9500,9182.04426462722,317.955735372781
2018-10-08,9715,9175.78017105562,539.219828944377
2018-10-09,9825,9169.40973164447,655.590268355533
2018-10-10,9670,9162.93431165025,507.065688349749
2018-10-11,9535,9156.35554732423,378.644452675765
2018-10-12,9565,9149.67528451839,415.32471548161
2018-10-15,9520,9142.89552560064,377.104474399359
2018-10-16,9400,9136.01844461791,263.981555382093
2018-10-17,9385,9129.04637149654,255.953628503457
2018-10-18,9415,9121.98174528268,293.018254717324
2018-10-19,9420,9114.82711082315,305.172889176855
2018-10-22,9445,9107.58513408652,337.414865913479
2018-10-23,9430,9100.25860718801,329.741392811988
2018-10-24,9465,9092.85046171621,372.149538283788
2018-10-25,9335,9085.36376556177,249.63623443823
2018-10-26,9285,9077.80174044693,207.198259553074
2018-10-29,9165,9070.16771128342,94.832288716578
2018-10-30,9105,9062.46508863054,42.534911369462
2018-10-31,9055,9054.69732224746,0.302677752544867
2018-11-01,8965,9046.86787947543,-81.8678794754256
2018-11-02,9115,9038.98022778096,76.0197722190355
2018-11-05,9125,9031.03780078954,93.962199210457
2018-11-06,9085,9023.04406355026,61.9559364497364
2018-11-07,9070,9015.00251995229,54.9974800477058
2018-11-08,9075,9006.91669949501,68.0833005049877
2018-11-09,8960,8998.79015441151,-38.7901544115139
2018-11-12,8860,8990.62646507789,-130.626465077892
2018-11-13,8960,8982.42919583574,-22.4291958357363
2018-11-14,9030,8974.20185703105,55.7981429689457
2018-11-15,9060,8965.9479497385,94.0520502615016
2018-11-16,9025,8957.67099809742,67.3290019025791
2018-11-19,8645,8949.37456512456,-304.374565124555
2018-11-20,8540,8941.06224166766,-401.062241667662
2018-11-21,8600,8932.73749275833,-332.737492758326
2018-11-22,8460,8924.40361764511,-464.403617645112
2018-11-23,8250,8916.06377803634,-666.063778036337
2018-11-26,8170,8907.72094367449,-737.720943674485
2018-11-27,8150,8899.37780897809,-749.377808978087
2018-11-28,8295,8891.03676342149,-596.036763421486
2018-11-29,8270,8882.69988671638,-612.699886716383
2018-11-30,8340,8874.36901219685,-534.369012196848
2018-12-03,8360,8866.04571993144,-506.045719931445
2018-12-04,8425,8857.73136910208,-432.731369102085
2018-12-05,8460,8849.42710971172,-389.427109711719
2018-12-06,8445,8841.13391288959,-396.133912889584
2018-12-07,8500,8832.85258879136,-332.852588791361
2018-12-10,8480,8824.58378382691,-344.583783826913
2018-12-11,8355,8816.32800681824,-461.328006818245
2018-12-12,8375,8808.08562415028,-433.085624150276
2018-12-13,8480,8799.85681151344,-319.856811513439
2018-12-18,8630,8791.64156557804,-161.641565578044
2018-12-19,8695,8783.43975079843,-88.4397507984347
2018-12-20,8620,8775.25116481286,-155.251164812859
2018-12-21,8605,8767.07556870208,-162.075568702082
2018-12-24,8495,8758.91265937231,-263.912659372307
2018-12-25,8440,8750.76206673421,-310.762066734207
2018-12-26,8485,8742.62331160756,-257.623311607556
2018-12-27,8570,8734.49578635561,-164.495786355614
2018-12-28,8600,8726.37877685052,-126.378776850522
2019-01-02,8490,8718.27150096846,-228.271500968457
2019-01-03,8480,8710.17312434571,-230.173124345708
2019-01-04,8645,8702.08271826029,-57.0827182602889
2019-01-07,8655,8693.99925884592,-38.9992588459217
2019-01-08,8595,8685.9216986406,-90.9216986406019
2019-01-09,8565,8677.84897406162,-112.84897406162
2019-01-10,8535,8669.77998394288,-134.779983942877
2019-01-11,8610,8661.71358047107,-51.7135804710658
2019-01-15,8575,8653.64856012024,-78.6485601202374
2019-01-16,8655,8645.58369798813,9.4163020118665
2019-01-17,8680,8637.51773666234,42.4822633376544
2019-01-18,8780,8629.44942262278,150.550577377216
