"GBPUSDDate","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc"
2021-10-14,1.36727,1.36809855562515,-0.00082855562514933
2021-10-15,1.37505,1.36772004357631,0.00732995642369351
2021-10-18,1.37279,1.36734067026858,0.00544932973141793
2021-10-19,1.37944,1.36696041704849,0.012479582951508
2021-10-20,1.38241,1.36657926751509,0.0158307324849103
2021-10-21,1.37936,1.36619721042598,0.0131627895740152
2021-10-22,1.37527,1.36581424108258,0.009455758917422
2021-10-25,1.37685,1.36543036022723,0.0114196397727667
2021-10-26,1.37664,1.36504557251095,0.0115944274890517
2021-10-27,1.37435,1.36465988730514,0.00969011269486133
2021-10-28,1.37926,1.36427331877389,0.0149866812261079
2021-10-29,1.36834,1.3638858850868,0.00445411491320316
2021-11-01,1.36636,1.36349761060833,0.0028623893916653
2021-11-02,1.36127,1.36310852154414,-0.00183852154413825
2021-11-03,1.3682,1.36271864528304,0.00548135471696247
2021-11-04,1.35011,1.36232800845389,-0.0122180084538907
2021-11-05,1.34972,1.36193663995133,-0.0122166399513282
2021-11-08,1.35634,1.36154456361955,-0.00520456361954736
2021-11-09,1.35583,1.36115179825288,-0.00532179825287821
2021-11-10,1.34045,1.3607583604943,-0.0203083604942977
2021-11-11,1.33709,1.36036426478695,-0.0232742647869543
2021-11-12,1.34058,1.35996951717934,-0.0193895171793442
2021-11-15,1.34147,1.35957411409932,-0.0181041140993166
2021-11-16,1.34294,1.35917804395987,-0.0162380439598738
2021-11-17,1.34917,1.35878128769051,-0.00961128769050801
2021-11-18,1.34975,1.35838381950855,-0.00863381950855296
2021-11-19,1.3444,1.35798560965843,-0.0135856096584271
2021-11-22,1.33954,1.35758662481567,-0.0180466248156714
2021-11-23,1.33784,1.35718682604008,-0.0193468260400844
2021-11-24,1.33294,1.35678616693171,-0.023846166931714
2021-11-25,1.33239,1.35638459309341,-0.0239945930934086
2021-11-26,1.33338,1.35598204027097,-0.0226020402709704
