"LUMDate","LUMClose","LUM_hpft","LUM_hpfc"
2021-10-22,3918,3651.83997536042,266.160024639583
2021-10-25,3985,3658.38226017577,326.617739824226
2021-10-26,3950,3665.01248386007,284.987516139928
2021-10-27,3887,3671.73291039393,215.267089606069
2021-10-28,3778,3678.54592156085,99.4540784391544
2021-10-29,3872,3685.45398812662,186.546011873384
2021-11-01,3802,3692.4596219678,109.540378032197
2021-11-02,3892,3699.56541207124,192.434587928765
2021-11-03,3821,3706.77399270339,114.226007296612
2021-11-04,3702,3714.08807767573,-12.0880776757307
2021-11-05,3711,3721.51042801585,-10.5104280158525
2021-11-08,3868,3729.0437997548,138.956200245195
2021-11-09,3846,3736.69094457874,109.309055421264
2021-11-10,3949,3744.45467161316,204.545328386841
2021-11-11,3818,3752.33783516747,65.6621648325277
2021-11-12,3802,3760.34337410189,41.6566258981089
2021-11-15,3709,3768.47425441823,-59.474254418226
2021-11-16,3778,3776.73345933781,1.26654066219452
2021-11-17,3710,3785.1239474977,-75.1239474977012
2021-11-18,3631,3793.64867805853,-162.648678058532
2021-11-19,3748,3802.31057912784,-54.3105791278354
2021-11-22,3575,3811.11251158049,-236.112511580486
2021-11-23,3590,3820.0573138417,-230.057313841702
2021-11-24,3768,3829.14772673727,-61.1477267372749
2021-11-25,3750,3838.38639599626,-88.3863959962593
2021-11-26,3638,3847.77594207199,-209.775942071988
2021-11-29,3426,3857.31894888265,-431.318948882652
2021-11-30,3253,3867.01791363315,-614.01791363315
2021-12-01,3299,3876.87515523882,-577.875155238819
2021-12-02,3310,3886.89273880393,-576.892738803932
2021-12-03,3395,3897.07249056292,-502.072490562917
2021-12-06,3385,3907.41599828624,-522.415998286242
2021-12-07,3452,3917.92464220757,-465.924642207571
2021-12-08,3474,3928.59958661466,-454.599586614656
2021-12-09,3513,3939.44180320053,-426.441803200526
2021-12-10,3461,3950.4520757453,-489.452075745299
2021-12-13,3577,3961.63101175554,-384.631011755541
2021-12-14,3521,3972.97901641716,-451.979016417158
2021-12-15,3448,3984.49633592602,-536.496335926017
2021-12-16,3520,3996.18302964682,-476.183029646819
2021-12-17,3530,4008.03893517924,-478.038935179235
2021-12-20,3332,4020.06369328814,-688.063693288137
2021-12-21,3382,4032.25674713595,-650.256747135948
2021-12-22,3480,4044.61725546714,-564.617255467141
2021-12-23,3562,4057.14410823603,-495.14410823603
2021-12-24,3596,4069.83596200762,-473.835962007624
2021-12-27,3556,4082.69126867361,-526.691268673611
2021-12-28,3708,4095.70828426103,-387.708284261033
2021-12-29,3697,4108.88504708409,-411.885047084094
2021-12-30,3691,4122.21943519395,-431.219435193949
2021-12-31,3702,4135.70915638467,-433.709156384668
2022-01-04,3647,4149.35174020227,-502.351740202272
2022-01-05,3691,4163.1445369146,-472.1445369146
2022-01-06,3654,4177.0846891372,-523.084689137196
2022-01-07,3797,4191.16914432021,-394.169144320212
2022-01-10,3742,4205.3946336916,-463.394633691599
2022-01-11,3759,4219.75772554566,-460.75772554566
2022-01-12,3833,4234.25479662796,-401.254796627958
2022-01-13,3872,4248.88203322536,-376.882033225357
2022-01-14,3901,4263.63545576205,-362.635455762048
2022-01-17,3960,4278.51092887446,-318.510928874458
2022-01-18,4029,4293.50416730013,-264.50416730013
2022-01-19,4059,4308.61075411687,-249.610754116875
2022-01-20,4054,4323.82616306711,-269.826163067107
2022-01-21,4007,4339.14576471436,-332.145764714356
2022-01-24,4050,4354.56481808657,-304.564818086571
2022-01-25,3979,4370.07844491643,-391.078444916433
2022-01-26,4013,4385.68164104135,-372.681641041349
2022-01-27,4059,4401.36924064297,-342.369240642969
2022-01-28,4033,4417.13592385103,-384.135923851028
2022-02-07,4313,4432.97622927378,-119.976229273779
2022-02-08,4268,4448.88453673304,-180.884536733035
2022-02-09,4118,4464.85517645734,-346.855176457343
2022-02-10,4208,4480.88240390477,-272.882403904773
2022-02-11,4218,4496.96033115758,-278.960331157579
2022-02-14,4422,4513.08295749919,-91.0829574991891
2022-02-15,4382,4529.24416690218,-147.244166902182
2022-02-16,4203,4545.43780568905,-342.437805689047
2022-02-17,4220,4561.65765931748,-341.65765931748
2022-02-18,4174,4577.89737169516,-403.897371695157
2022-02-21,4213,4594.15044550217,-381.150445502174
2022-02-22,4367,4610.41021646375,-243.41021646375
2022-02-23,4340,4626.66986275284,-286.669862752836
2022-02-24,4497,4642.92246192635,-145.922461926353
2022-02-25,4419,4659.16097304343,-240.160973043426
2022-02-28,4533,4675.37829484469,-142.378294844689
