"SR0Date","SR0Close","SR0_hpft","SR0_hpfc"
2021-09-06,5942,5800.98893917479,141.011060825206
2021-09-07,5961,5803.72237885536,157.277621144644
2021-09-08,5953,5806.41022612208,146.58977387792
2021-09-09,5926,5809.05204297529,116.94795702471
2021-09-10,5863,5811.64745200957,51.3525479904297
2021-09-13,5828,5814.19612416122,13.8038758387804
2021-09-14,5838,5816.69775159353,21.3022484064719
2021-09-15,5779,5819.15203217594,-40.152032175942
2021-09-16,5885,5821.55867258313,63.4413274168732
2021-09-17,5846,5823.91736289275,22.0826371072525
2021-09-22,5758,5826.22781940629,-68.227819406293
2021-09-23,5752,5828.48976755356,-76.489767553561
2021-09-24,5809,5830.70290456158,-21.7029045615815
2021-09-27,5793,5832.86689603971,-39.8668960397142
2021-09-28,5747,5834.9813986261,-87.9813986260974
2021-09-29,5781,5837.04605247951,-56.046052479513
2021-09-30,5812,5839.06046139092,-27.0604613909181
2021-10-08,5874,5841.02420598393,32.9757940160695
2021-10-11,5948,5842.93685569646,105.063144303543
2021-10-12,6020,5844.79799359729,175.202006402709
2021-10-13,5962,5846.60724618413,115.392753815869
2021-10-14,5970,5848.36431237612,121.635687623881
2021-10-15,5958,5850.06893879122,107.931061208776
2021-10-18,5944,5851.72092232652,92.2790776734803
2021-10-19,5917,5853.32010449368,63.6798955063198
2021-10-20,5901,5854.86636494867,46.1336350513344
2021-10-21,5965,5856.35960967011,108.640390329893
2021-10-22,5865,5857.79976370668,7.20023629331612
2021-10-25,5890,5859.18679701427,30.8132029857259
2021-10-26,5929,5860.52068252539,68.4793174746104
2021-10-27,6078,5861.80140590926,216.198594090736
2021-10-28,5953,5863.02898114177,89.9710188582301
2021-10-29,5978,5864.20351156667,113.79648843333
2021-11-01,5925,5865.32513771801,59.6748622819851
2021-11-02,5984,5866.39404716887,117.605952831126
2021-11-03,5941,5867.41045215938,73.5895478406174
2021-11-04,5945,5868.37461354333,76.6253864566694
2021-11-05,6002,5869.28682259334,132.71317740666
2021-11-08,6086,5870.14740225606,215.852597743936
2021-11-09,6124,5870.95673033625,253.043269663746
2021-11-10,6132,5871.71527386363,260.284726136367
2021-11-11,6045,5872.42360446576,172.576395534238
2021-11-12,6108,5873.08240136145,234.917598638549
2021-11-15,6075,5873.6924151056,201.307584894397
2021-11-16,6058,5874.25449335866,183.74550664134
2021-11-17,6079,5874.76956699344,204.230433006556
2021-11-18,6141,5875.23864283588,265.761357164124
2021-11-19,6069,5875.66281213252,193.337187867482
