"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2016-12-13",4826500,4941957.68271034,-115457.682710337
"2016-12-14",4813500,4939803.25748686,-126303.257486863
"2016-12-15",4727750,4937645.44007401,-209895.44007401
"2016-12-16",4793000,4935485.34914756,-142485.34914756
"2016-12-19",4733500,4933324.01662096,-199824.016620956
"2016-12-20",4737500,4931162.41550993,-193662.41550993
"2016-12-21",4812250,4929001.436231,-116751.436230999
"2016-12-22",4849000,4926841.88914843,-77841.8891484274
"2016-12-23",4828500,4924684.53636613,-96184.5363661262
"2016-12-26",4832500,4922530.1078113,-90030.1078112997
"2016-12-27",4809750,4920379.29365234,-110629.293652338
"2016-12-28",4831750,4918232.7468428,-86482.7468427998
"2016-12-29",4883750,4916091.07460655,-32341.0746065523
"2016-12-30",4866000,4913954.84841896,-47954.8484189645
"2017-01-03",4869500,4911824.6263869,-42324.626386904
"2017-01-04",4861500,4909700.94679463,-48200.9467946311
"2017-01-05",4872500,4907584.33043112,-35084.3304311179
"2017-01-06",4862000,4905475.27816098,-43475.2781609832
"2017-01-09",4881750,4903374.27634643,-21624.2763464287
"2017-01-10",4879500,4901281.79337868,-21781.7933786788
"2017-01-11",4863500,4899198.2887104,-35698.2887104044
"2017-01-12",4867750,4897124.21279051,-29374.2127905081
"2017-01-13",4874750,4895060.00131168,-20310.0013116806
"2017-01-16",4843000,4893006.0778245,-50006.0778244997
"2017-01-17",4830000,4890962.85748418,-60962.8574841825
"2017-01-18",4832500,4888930.73477547,-56430.7347754706
"2017-01-19",4847000,4886910.07898349,-39910.0789834931
"2017-01-20",4861750,4884901.2360672,-23151.2360672014
"2017-01-23",4854250,4882904.5354883,-28654.5354883015
"2017-01-24",4813500,4880920.29713873,-67420.2971387285
"2017-01-25",4801500,4878948.82906578,-77448.8290657785
"2017-01-26",4794250,4876990.4114479,-82740.4114479045
"2017-02-03",4765250,4875045.29244934,-109795.292449337
"2017-02-06",4763500,4873113.68603273,-109613.686032728
"2017-02-07",4777500,4871195.76077578,-93695.7607757847
"2017-02-08",4785750,4869291.63994631,-83541.6399463105
"2017-02-09",4797500,4867401.40808207,-69901.4080820722
"2017-02-10",4800000,4865525.11518808,-65525.1151880812
"2017-02-13",4813000,4863662.78237491,-50662.7823749066
"2017-02-14",4804500,4861814.40366768,-57314.4036676789
"2017-02-15",4796250,4859979.95214954,-63729.9521495359
"2017-02-16",4829000,4858159.37721218,-29159.3772121802
"2017-02-17",4836500,4856352.60190391,-19852.6019039138
"2017-02-20",4865250,4854559.53721973,10690.4627802729
"2017-02-21",4847250,4852780.08594833,-5530.08594833343
"2017-02-22",4862500,4851014.15529745,11485.8447025491
"2017-02-23",4861250,4849261.6501889,11988.3498111002
"2017-02-24",4873250,4847522.48029225,25727.519707751
"2017-02-27",4855500,4845796.5602326,9703.43976739648
"2017-02-28",4867750,4844083.81526978,23666.184730223
"2017-03-02",4835000,4842384.17467461,-7384.17467461109
"2017-03-13",4774000,4840697.57750057,-66697.5775005734
"2017-03-14",4777500,4839023.95974882,-61523.9597488244
"2017-03-15",4783500,4837363.22985043,-53863.2298504298
"2017-03-16",4817750,4835715.27080491,-17965.2708049101
"2017-03-17",4814000,4834079.9433469,-20079.9433468994
"2017-03-20",4818250,4832457.10078492,-14207.100784919
"2017-03-21",4829000,4830846.58812726,-1846.58812726411
"2017-03-22",4829000,4829248.24450953,-248.244509534834
"2017-03-23",4835000,4827661.90830407,7338.09169592714
"2017-03-24",4865750,4826087.41778058,39662.5822194236
"2017-03-27",4865500,4824524.61424204,40975.3857579598
"2017-03-28",4845500,4822973.35538636,22526.6446136355
"2017-03-29",4845250,4821433.51584901,23816.4841509875
"2017-03-30",4842500,4819904.97957709,22595.0204229121
"2017-03-31",4842000,4818387.64036244,23612.3596375576
"2017-04-05",4827000,4816881.40133682,10118.5986631841
"2017-04-06",4840500,4815386.17539235,25113.8246076527
"2017-04-07",4858000,4813901.87960379,44098.1203962127
"2017-04-10",4841750,4812428.44142693,29321.5585730732
"2017-04-11",4846750,4810965.80654598,35784.1934540242
"2017-04-12",4838500,4809513.93276546,28986.0672345359
"2017-04-13",4845250,4808072.79268168,37177.2073183188
"2017-04-14",4824500,4806642.37087261,17857.6291273903
"2017-04-17",4803250,4805222.66728377,-1972.66728376528
"2017-04-18",4807500,4803813.68924231,3686.3107576899
"2017-04-19",4813750,4802415.44325997,11334.5567400251
"2017-04-20",4811250,4801027.93737225,10222.0626277545
