"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2019-12-24,3553,3451.74541595637,101.254584043631
2019-12-25,3521,3450.23812951674,70.7618704832637
2019-12-26,3557,3448.73199950398,108.268000496019
2019-12-27,3564,3447.22727438936,116.772725610638
2019-12-30,3566,3445.72424739778,120.275752602222
2019-12-31,3592,3444.22326002328,147.776739976719
2020-01-02,3571,3442.72470347707,128.275296522928
2020-01-03,3560,3441.22903005533,118.770969944671
2020-01-06,3579,3439.73674507806,139.26325492194
2020-01-07,3588,3438.24840296044,149.75159703956
2020-01-08,3643,3436.76461568345,206.235384316553
2020-01-09,3585,3435.28605712936,149.713942870636
2020-01-10,3600,3433.81348642989,166.186513570111
2020-01-13,3564,3432.34772460244,131.65227539756
2020-01-14,3596,3430.88966135925,165.110338640749
2020-01-15,3575,3429.44024083233,145.55975916767
2020-01-16,3591,3428.00047540364,162.999524596361
2020-01-17,3635,3426.57143762371,208.428562376293
2020-01-20,3634,3425.15426742049,208.845732579509
2020-01-21,3593,3423.75019087798,169.24980912202
2020-01-22,3569,3422.36052040857,146.639479591431
2020-01-23,3521,3420.98663838567,100.01336161433
2020-02-03,3246,3419.62998779761,-173.629987797605
2020-02-04,3312,3418.29205297422,-106.292052974215
2020-02-05,3309,3416.97424647364,-107.974246473643
2020-02-06,3307,3415.67793691719,-108.677936917195
2020-02-07,3320,3414.40444829398,-94.4044482939793
2020-02-10,3311,3413.15505967001,-102.155059670008
2020-02-11,3378,3411.93101108823,-33.9310110882268
2020-02-12,3401,3410.73350036488,-9.73350036488214
2020-02-13,3396,3409.56371129047,-13.5637112904667
2020-02-14,3410,3408.42282363198,1.57717636801653
2020-02-17,3430,3407.31201154987,22.6879884501285
2020-02-18,3414,3406.23244985639,7.76755014360839
2020-02-19,3405,3405.1853227421,-0.185322742096261
2020-02-20,3455,3404.17181760846,50.8281823915399
2020-02-21,3484,3403.19312178023,80.8068782197675
2020-02-24,3490,3402.25044359253,87.749556407471
2020-02-25,3490,3401.34502478282,88.6549752171795
2020-02-26,3461,3400.47814336064,60.5218566393606
2020-02-27,3437,3399.65111398194,37.348886018059
2020-02-28,3377,3398.86527632001,-21.8652763200114
2020-03-02,3469,3398.12198548663,70.878014513372
2020-03-03,3457,3397.42258755542,59.5774124445791
2020-03-04,3491,3396.76845789804,94.2315421019631
2020-03-05,3483,3396.16099651311,86.8390034868869
2020-03-06,3461,3395.60164235077,65.3983576492326
2020-03-09,3466,3395.09187025695,70.908129743046
2020-03-10,3480,3394.63318211055,85.3668178894543
2020-03-11,3484,3394.22710910099,89.7728908990119
2020-03-12,3503,3393.87521770507,109.124782294926
2020-03-13,3535,3393.57911150795,141.42088849205
2020-03-16,3506,3393.34043920264,112.659560797364
2020-03-17,3498,3393.16090793986,104.839092060137
2020-03-18,3466,3393.04227143936,72.9577285606402
2020-03-19,3429,3392.98632675707,36.0136732429307
2020-03-20,3368,3392.99490110659,-24.994901106586
2020-03-23,3257,3393.06983658825,-136.069836588252
2020-03-24,3329,3393.21296497056,-64.2129649705581
2020-03-25,3209,3393.42606177607,-184.426061776069
2020-03-26,3161,3393.71087598446,-232.710875984463
2020-03-27,3171,3394.06908034105,-223.069080341047
2020-03-30,3079,3394.50225139752,-315.502251397524
2020-03-31,3071,3395.01187349826,-324.011873498256
2020-04-01,2999,3395.59930057132,-396.599300571317
2020-04-02,3078,3396.26575261163,-318.26575261163
2020-04-03,3035,3397.01228567538,-362.012285675383
2020-04-07,3063,3397.83982426101,-334.839824261014
2020-04-08,3103,3398.74914322549,-295.749143225485
2020-04-09,3149,3399.74087901643,-250.740879016425
2020-04-10,3209,3400.81554583067,-191.815545830672
2020-04-13,3220,3401.97355421877,-181.973554218774
2020-04-14,3200,3403.21523544245,-203.215235442453
2020-04-15,3196,3404.5408455431,-208.540845543096
2020-04-16,3234,3405.95055656074,-171.950556560743
2020-04-17,3235,3407.44445433345,-172.44445433345
2020-04-20,3218,3409.02255362133,-191.022553621328
2020-04-21,3185,3410.6847979034,-225.684797903401
2020-04-22,3211,3412.43105169731,-201.431051697308
2020-04-23,3173,3414.26108623169,-241.261086231694
2020-04-24,3187,3416.17458947182,-229.174589471816
2020-04-27,3171,3418.17114965541,-247.17114965541
2020-04-28,3149,3420.2502602883,-271.250260288305
2020-04-29,3159,3422.41131270601,-263.411312706009
2020-04-30,3211,3424.65358612002,-213.65358612002
2020-05-06,3248,3426.97625085806,-178.976250858061
2020-05-07,3305,3429.37838893217,-124.378388932173
2020-05-08,3327,3431.85900837285,-104.85900837285
2020-05-11,3329,3434.41706579746,-105.417065797455
2020-05-12,3333,3437.05147447907,-104.05147447907
2020-05-13,3337,3439.7611041152,-102.761104115196
2020-05-14,3344,3442.54478139285,-98.5447813928541
2020-05-15,3365,3445.40129052191,-80.4012905219141
2020-05-18,3440,3448.32937497771,-8.32937497770789
2020-05-19,3469,3451.32774500082,17.6722549991824
2020-05-20,3446,3454.39510738883,-8.39510738883007
2020-05-21,3469,3457.53017624435,11.4698237556457
2020-05-22,3415,3460.73166219976,-45.7316621997585
2020-05-25,3405,3463.99828062858,-58.9982806285752
2020-05-26,3407,3467.32872800069,-60.3287280006857
2020-05-27,3419,3470.72167639857,-51.7216763985735
2020-05-28,3447,3474.17577296709,-27.1757729670897
2020-05-29,3542,3477.68964347159,64.31035652841
2020-06-01,3549,3481.26190244384,67.7380975561641
2020-06-02,3575,3484.89119099923,90.10880900077
2020-06-03,3525,3488.57617825314,36.4238217468618
2020-06-04,3487,3492.31557056836,-5.31557056835661
2020-06-05,3515,3496.10808936379,18.8919106362051
2020-06-08,3542,3499.95245386106,42.0475461389405
2020-06-09,3545,3503.84739109108,41.1526089089195
2020-06-10,3516,3507.79164546549,8.20835453451236
2020-06-11,3538,3511.78397840673,26.2160215932743
2020-06-12,3583,3515.82315473019,67.176845269805
2020-06-15,3533,3519.90795008797,13.0920499120323
2020-06-16,3565,3524.03716790044,40.9628320995578
2020-06-17,3552,3528.20961699962,23.790383000377
2020-06-18,3620,3532.4241231499,87.5758768501031
2020-06-19,3659,3536.67952194966,122.320478050342
2020-06-22,3631,3540.97468519762,90.0253148023796
2020-06-23,3603,3545.30853525491,57.6914647450867
2020-06-24,3604,3549.6800316955,54.3199683045043
2020-06-29,3560,3554.08815794068,5.91184205931823
2020-06-30,3578,3558.53191986543,19.4680801345706
2020-07-01,3567,3563.01032578843,3.98967421157232
2020-07-02,3563,3567.52239207569,-4.52239207568557
2020-07-03,3606,3572.06713674247,33.9328632575347
2020-07-06,3605,3576.64357593455,28.3564240654523
2020-07-07,3629,3581.25073982422,47.7492601757756
2020-07-08,3696,3585.8876703052,110.112329694801
2020-07-09,3718,3590.55342900877,127.446570991225
2020-07-10,3697,3595.24712308232,101.752876917682
2020-07-13,3743,3599.96791235449,143.032087645508
2020-07-14,3756,3604.71499871441,151.28500128559
2020-07-15,3773,3609.48764317498,163.51235682502
2020-07-16,3735,3614.28516928423,120.714830715773
2020-07-17,3752,3619.10696817956,132.893031820444
2020-07-20,3737,3623.95248089717,113.047519102829
2020-07-21,3787,3628.82120340574,158.178796594256
2020-07-22,3802,3633.71267840335,168.287321596648
2020-07-23,3840,3638.6265139728,201.373486027196
2020-07-24,3767,3643.5623877601,123.437612239898
2020-07-27,3747,3648.52006065099,98.4799393490131
2020-07-28,3749,3653.49934455525,95.5006554447506
2020-07-29,3788,3658.50009209046,129.499907909537
2020-07-30,3819,3663.52219535022,155.477804649776
2020-07-31,3848,3668.56559995821,179.434400041793
2020-08-03,3911,3673.6303158064,237.3696841936
2020-08-04,3920,3678.71642695775,241.28357304225
2020-08-05,3911,3683.82411559422,227.175884405783
2020-08-06,3910,3688.95366363482,221.046336365182
2020-08-07,3904,3694.10544690381,209.894553096192
2020-08-10,3894,3699.27993259717,194.720067402827
2020-08-11,3872,3704.47767467289,167.522325327111
2020-08-12,3900,3709.69930757832,190.300692421677
2020-08-13,3916,3714.94553500787,201.054464992135
2020-08-14,3926,3720.21713931855,205.782860681452
2020-08-17,3950,3725.51498597526,224.485014024742
2020-08-18,3984,3730.84002550522,253.159974494777
2020-08-19,3966,3736.19330122871,229.806698771294
2020-08-20,3967,3741.57596111225,225.424038887749
2020-08-21,3960,3746.98924811511,213.010751884887
2020-08-24,3937,3752.43449837786,184.565501622142
2020-08-25,3938,3757.91313609112,180.086863908877
2020-08-26,3928,3763.42666173744,164.573338262561
2020-08-27,3946,3768.97665024011,177.02334975989
2020-08-28,3965,3774.56474455039,190.435255449608
2020-08-31,4011,3780.19266079384,230.807339206165
