"J0Date","J0Close","J0_hpft","J0_hpfc"
2012-02-14,2063,2006.68989536886,56.3101046311437
2012-02-15,2060,2005.32498588266,54.6750141173414
2012-02-16,2045,2003.92914651434,41.070853485661
2012-02-17,2043,2002.50151474802,40.4984852519817
2012-02-20,2050,2001.04124504487,48.9587549551338
2012-02-21,2061,1999.54750860649,61.4524913935128
2012-02-22,2067,1998.01949687204,68.9805031279564
2012-02-23,2065,1996.45642668269,68.5435733173106
2012-02-24,2065,1994.85754339337,70.1424566066316
2012-02-27,2081,1993.22212069219,87.7778793078121
2012-02-28,2085,1991.54946126131,93.4505387386856
2012-02-29,2091,1989.83890406676,101.161095933235
2012-03-01,2073,1988.08982670323,84.9101732967672
2012-03-02,2090,1986.3016485814,103.698351418603
2012-03-05,2066,1984.47382421029,81.5261757897093
2012-03-06,2064,1982.60585096369,81.3941490363081
2012-03-07,2043,1980.69725991512,62.3027400848819
2012-03-08,2053,1978.74761578304,74.2523842169643
2012-03-09,2066,1976.75650903951,89.2434909604898
2012-03-12,2054,1974.72356084929,79.2764391507068
2012-03-13,2061,1972.64842926718,88.3515707328167
2012-03-14,2032,1970.53080511743,61.4691948825711
2012-03-15,2021,1968.37041574526,52.6295842547396
2012-03-16,2018,1966.16701390487,51.8329860951286
2012-03-19,2007,1963.92037410539,43.0796258946134
2012-03-20,2024,1961.63029228161,62.3697077183892
2012-03-21,2038,1959.29658217561,78.7034178243931
2012-03-22,2038,1956.91908331076,81.0809166892353
2012-03-23,2047,1954.49766774325,92.5023322567486
2012-03-26,2044,1952.03224104477,91.9677589552252
2012-03-27,2042,1949.52274702376,92.4772529762371
2012-03-28,2027,1946.96916750445,80.0308324955548
2012-03-29,2025,1944.37152253748,80.6284774625222
2012-03-30,2026,1941.72986525502,84.2701347449805
2012-04-05,2020,1939.04428211783,80.9557178821737
2012-04-06,2009,1936.3148944204,72.6851055796036
2012-04-09,1999,1933.54185692129,65.4581430787093
2012-04-10,2002,1930.72535442398,71.2746455760239
2012-04-11,2007,1927.86559878976,79.1344012102375
2012-04-12,1994,1924.96283134204,69.0371686579638
2012-04-13,1980,1922.01732611527,57.9826738847258
2012-04-16,2084,1919.02938568083,164.970614319165
2012-04-17,2082,1915.99933657809,166.000663421907
2012-04-18,2057,1912.92757353839,144.072426461615
2012-04-19,2055,1909.81455991132,145.185440088684
2012-04-20,2056,1906.66081860006,149.339181399939
2012-04-23,2010,1903.46693252169,106.533067478311
2012-04-24,2014,1900.23354632403,113.766453675965
2012-04-25,2019,1896.96134869142,122.038651308585
2012-04-26,2020,1893.65107533464,126.348924665355
2012-04-27,2009,1890.30351241046,118.696487589535
2012-05-02,2006,1886.91949830311,119.080501696891
2012-05-03,1994,1883.49992046112,110.500079538882
2012-05-04,2000,1880.04571555631,119.954284443689
2012-05-07,1997,1876.55786593661,120.44213406339
2012-05-08,1968,1873.03740353422,94.9625964657782
2012-05-09,1973,1869.48541006742,103.514589932581
2012-05-10,1980,1865.90300650814,114.096993491862
2012-05-11,1971,1862.29135661705,108.708643382949
2012-05-14,1902,1858.65167131796,43.3483286820366
2012-05-15,1897,1854.98520647043,42.0147935295735
2012-05-16,1869,1851.29323585246,17.7067641475425
2012-05-17,1883,1847.57705060938,35.4229493906152
2012-05-18,1869,1843.83794920573,25.1620507942662
2012-05-21,1884,1840.07724474837,43.922755251626
2012-05-22,1884,1836.2962607453,47.7037392546998
2012-05-23,1858,1832.49633886034,25.5036611396582
2012-05-24,1863,1828.67884047611,34.3211595238885
2012-05-25,1867,1824.84513751742,42.1548624825807
2012-05-28,1883,1820.99661609611,62.0033839038918
2012-05-29,1886,1817.13467974908,68.8653202509207
2012-05-30,1874,1813.26075764301,60.7392423569947
2012-05-31,1867,1809.37630741068,57.6236925893173
2012-06-01,1859,1805.48281179206,53.5171882079387
2012-06-04,1791,1801.58177734642,-10.5817773464205
2012-06-05,1805,1797.67473275488,7.32526724511866
2012-06-06,1816,1793.7632023245,22.2367976754989
2012-06-07,1812,1789.84871339029,22.1512866097053
2012-06-08,1785,1785.93280247908,-0.932802479079173
2012-06-11,1801,1782.01701527413,18.9829847258747
2012-06-12,1755,1778.10289707311,-23.1028970731093
2012-06-13,1746,1774.19200102053,-28.1920010205262
