"CT00YDate","CT00YClose","CT00Y_hpft","CT00Y_hpfc"
2017-03-09,77.56,74.5835554202603,2.97644457973973
2017-03-10,77.02,74.5873727848189,2.43262721518114
2017-03-13,76.57,74.5898531050664,1.98014689493362
2017-03-14,76.83,74.5909932458196,2.23900675418039
2017-03-15,77.6,74.5907908904121,3.0092091095879
2017-03-16,77.53,74.58924464769,2.94075535231003
2017-03-17,77.83,74.5863543703916,3.24364562960839
2017-03-20,77.11,74.5821211268397,2.52787887316032
2017-03-21,76.5,74.5765473261479,1.92345267385214
2017-03-22,77.01,74.5696364223598,2.44036357764019
2017-03-23,77.04,74.5613926645953,2.47860733540469
2017-03-24,77.14,74.551821310719,2.58817868928099
2017-03-27,76.73,74.5409286431521,2.18907135684788
2017-03-28,76.6,74.5287220141717,2.07127798582831
2017-03-29,75.8,74.515209680921,1.28479031907897
2017-03-30,75.75,74.5004007567277,1.24959924327232
2017-03-31,76.66,74.4843048860053,2.17569511399472
2017-04-03,75.23,74.466932229694,0.76306777030602
2017-04-04,74.67,74.4482938480839,0.22170615191614
2017-04-05,74.82,74.4284011168854,0.391598883114613
2017-04-06,74.61,74.4072655034555,0.202734496544485
2017-04-07,73.67,74.3848986370185,-0.71489863701848
2017-04-10,75.11,74.3613122306055,0.748687769394465
2017-04-11,74.89,74.3365177017317,0.553482298268348
2017-04-12,74.66,74.310526777394,0.349473222606039
2017-04-13,75.23,74.2833514133735,0.946648586626483
2017-04-17,76.55,74.2550037099126,2.29499629008742
2017-04-18,76.53,74.2254961585588,2.30450384144122
2017-04-19,76.69,74.1948421995186,2.49515780048137
2017-04-20,77.32,74.1630562255876,3.15694377441239
2017-04-21,77.41,74.1301536609593,3.2798463390407
2017-04-24,77.09,74.0961512347814,2.99384876521858
2017-04-25,77.4,74.0610670319574,3.33893296804256
2017-04-26,77.25,74.0249203749292,3.22507962507081
2017-04-27,76.25,73.9877319663175,2.26226803368253
2017-04-28,80.23,73.9495238418595,6.28047615814049
2017-05-01,77.02,73.9103189724287,3.10968102757128
2017-05-02,77.23,73.8701429249897,3.3598570750103
2017-05-03,76.88,73.8290225519239,3.05097744807609
2017-05-04,77.02,73.7869860944467,3.23301390555332
2017-05-05,76.17,73.7440630549235,2.42593694507647
2017-05-08,75.47,73.7002842721162,1.76971572788376
2017-05-09,75.47,73.6556815875733,1.81431841242672
2017-05-10,74.48,73.6102875743694,0.869712425630624
2017-05-11,76.02,73.5641355555477,2.45586444445227
2017-05-12,78.07,73.5172592136564,4.55274078634355
2017-05-15,80.53,73.4696932463983,7.06030675360172
2017-05-16,77.94,73.4214742333963,4.51852576660368
2017-05-17,77.31,73.3726416727187,3.93735832728135
2017-05-18,76.31,73.3232369302127,2.98676306978734
2017-05-19,76.24,73.2733029992706,2.96669700072944
2017-05-22,75.55,73.222884107892,2.327115892108
2017-05-23,74.49,73.1720257103895,1.31797428961049
2017-05-24,74.9,73.1207742230123,1.77922577698769
2017-05-25,74.85,73.0691766068077,1.78082339319229
2017-05-26,74.56,73.0172805582823,1.5427194417177
2017-05-30,74.59,72.9651345100644,1.62486548993564
2017-05-31,74.34,72.91278753248,1.42721246752002
2017-06-01,75.06,72.8602893675096,2.19971063249042
2017-06-02,74.4,72.8076903470854,1.59230965291456
2017-06-05,73.95,72.7550417124119,1.19495828758808
2017-06-06,73.7,72.7023953628902,0.997604637109828
2017-06-07,73.69,72.649803691869,1.04019630813097
2017-06-08,74.07,72.5973195050669,1.47268049493308
2017-06-09,73.39,72.5449960381779,0.845003961822073
2017-06-12,73.09,72.4928871356425,0.597112864357505
2017-06-13,72.42,72.441046991192,-0.0210469911919565
2017-06-14,71.47,72.3895300453806,-0.919530045380587
2017-06-15,69.98,72.3383907300611,-2.35839073006112
2017-06-16,69.89,72.2876830969921,-2.39768309699207
2017-06-19,69.14,72.2374602230657,-3.09746022306571
2017-06-20,69.04,72.1877741940694,-3.14777419406942
2017-06-21,68.32,72.1386758154255,-3.81867581542547
2017-06-22,66.9,72.0902145913928,-5.19021459139277
2017-06-23,67.44,72.0424384477417,-4.60243844774167
2017-06-26,67.53,71.995393164819,-4.46539316481901
2017-06-27,67.54,71.9491226205066,-4.40912262050658
2017-06-28,67.62,71.9036688468722,-4.28366884687222
2017-06-29,67.11,71.8590720534332,-4.74907205343324
