"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2011-10-19,14590,15968.8204156167,-1378.82041561669
2011-10-20,13850,15951.7295538051,-2101.72955380509
2011-10-21,14300,15934.9047168117,-1634.90471681168
2011-10-24,15040,15918.3494729604,-878.349472960442
2011-10-25,15035,15902.0667147727,-867.066714772725
2011-10-26,14945,15886.0589716945,-941.058971694545
2011-10-27,15145,15870.3284147618,-725.328414761832
2011-10-28,15420,15854.8768260143,-434.876826014347
2011-10-31,15335,15839.7056876704,-504.7056876704
2011-11-01,15305,15824.8163021875,-519.816302187498
2011-11-02,15325,15810.2097633987,-485.209763398749
2011-11-03,15045,15795.8869502657,-750.886950265734
2011-11-04,15550,15781.8485411836,-231.848541183597
2011-11-07,15345,15768.0949041613,-423.094904161271
2011-11-08,15325,15754.6263113707,-429.626311370728
2011-11-09,15455,15741.4428600935,-286.442860093538
2011-11-10,14510,15728.5444700209,-1218.54447002089
2011-11-11,14760,15715.9309424398,-955.930942439801
2011-11-14,15430,15703.6015749407,-273.601574940724
2011-11-15,15305,15691.5552699705,-386.555269970486
2011-11-16,15125,15679.7908168795,-554.790816879517
2011-11-17,15245,15668.3068452324,-423.306845232409
2011-11-18,15040,15657.1017552655,-617.101755265517
2011-11-21,15155,15646.1737722365,-491.173772236482
2011-11-22,15170,15635.5208663183,-465.520866318306
2011-11-23,15065,15625.1408046529,-560.140804652863
2011-11-24,15025,15615.0311619538,-590.03116195382
2011-11-25,14835,15605.189281396,-770.189281395996
2011-11-28,15170,15595.6122622583,-425.612262258268
2011-11-29,15245,15586.2968854548,-341.29688545476
2011-11-30,15115,15577.2397559679,-462.239755967862
2011-12-01,15800,15568.4373377022,231.562662297804
2011-12-02,15795,15559.885903491,235.114096509042
2011-12-05,15715,15551.5818218856,163.418178114383
2011-12-06,15670,15543.5215586253,126.478441374714
2011-12-07,15815,15535.7016469992,279.298353000835
2011-12-08,15775,15528.1186725767,246.8813274233
2011-12-09,15650,15520.7693363793,129.230663620736
2011-12-12,15575,15513.6504414782,61.3495585217922
2011-12-13,15355,15506.7588443641,-151.758844364083
2011-12-14,14980,15500.0914268869,-520.091426886856
2011-12-15,14715,15493.645008165,-778.645008164978
2011-12-16,14950,15487.4161923326,-537.416192332621
2011-12-19,14785,15481.4012616632,-696.401261663151
2011-12-20,14780,15475.5962762837,-695.596276283654
2011-12-21,14900,15469.9970084573,-569.99700845729
