"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2022-06-28,9836,9756.33594344556,79.6640565544402
2022-06-29,9704,9766.2860122231,-62.2860122230973
2022-06-30,9712,9776.16172748518,-64.1617274851772
2022-07-01,9600,9785.96731021796,-185.967310217957
2022-07-04,9664,9795.70695488583,-131.706954885829
2022-07-05,9606,9805.38477908167,-199.384779081673
2022-07-06,9482,9815.00484595609,-333.004845956096
2022-07-07,9472,9824.57113624203,-352.571136242032
2022-07-08,9582,9834.08749302153,-252.08749302153
2022-07-11,9534,9843.55761363796,-309.55761363796
2022-07-12,9520,9852.98509123195,-332.98509123195
2022-07-13,9324,9862.37339098532,-538.373390985321
2022-07-14,9342,9871.72584043729,-529.725840437288
2022-07-15,9206,9881.04554458515,-675.045544585146
2022-07-18,9408,9890.33538945887,-482.335389458868
2022-07-19,9334,9899.59798205171,-565.597982051713
2022-07-20,9344,9908.83572997891,-564.835729978915
2022-07-21,9384,9918.05080706019,-534.050807060191
2022-07-22,9322,9927.24515363493,-605.245153634932
2022-07-25,9312,9936.4204892874,-624.420489287397
2022-07-26,9388,9945.57828341782,-557.578283417821
2022-07-27,9586,9954.71974731612,-368.719747316117
2022-07-28,9638,9963.84586179177,-325.845861791774
2022-07-29,9726,9972.95745524035,-246.957455240347
2022-08-01,9640,9982.05522136581,-342.055221365807
2022-08-02,9634,9991.13975178989,-357.139751789894
2022-08-03,9628,10000.2114967424,-372.211496742435
2022-08-04,9530,10009.270758826,-479.270758826005
2022-08-05,9692,10018.317686786,-326.317686785985
2022-08-08,9822,10027.3522312565,-205.352231256457
2022-08-09,9778,10036.3742079849,-258.374207984903
2022-08-10,9740,10045.3833478344,-305.383347834436
2022-08-11,9786,10054.3792748667,-268.379274866679
2022-08-12,9776,10063.3614869101,-287.36148691007
2022-08-15,9646,10072.3293708558,-426.329370855813
2022-08-16,9662,10081.2821948115,-419.282194811463
2022-08-17,9658,10090.2190506571,-432.219050657126
2022-08-18,9488,10099.1388569585,-611.138856958537
2022-08-19,9304,10108.0403536194,-804.040353619406
2022-08-22,9344,10116.9220279233,-772.922027923266
2022-08-23,9354,10125.7820347957,-771.782034795687
2022-08-24,9412,10134.6182096673,-722.61820966733
2022-08-25,9350,10143.4280689453,-793.428068945252
2022-08-26,9420,10152.2088303351,-732.208830335127
2022-08-29,9420,10160.9573835715,-740.957383571455
2022-08-30,9570,10169.670315723,-599.670315723022
2022-08-31,9570,10178.3439075765,-608.34390757651
2022-09-01,9944,10186.9741920391,-242.974192039111
2022-09-02,9966,10195.5569505532,-229.556950553175
2022-09-05,10192,10204.0878641252,-12.0878641252022
2022-09-06,10242,10212.5625188721,29.4374811279461
2022-09-07,10326,10220.976495914,105.023504085976
2022-09-08,10380,10229.3253885397,150.67461146034
2022-09-09,10384,10237.6048334499,146.395166550075
2022-09-13,10320,10245.8105296288,74.1894703712168
2022-09-14,10316,10253.9382365737,62.0617634262887
2022-09-15,10374,10261.9837444496,112.016255550371
2022-09-16,10372,10269.9428690752,102.057130924767
2022-09-19,10626,10277.8114725717,348.188527428301
2022-09-20,10684,10285.585459247,398.414540752969
2022-09-21,10806,10293.2608773362,512.739122663833
2022-09-22,10864,10300.8339397625,563.166060237515
2022-09-23,10952,10308.3010713955,643.698928604488
2022-09-26,10802,10315.6589298945,486.34107010551
2022-09-27,10730,10322.9044389982,407.095561001834
2022-09-28,10650,10330.0347234791,319.965276520873
2022-09-29,10698,10337.0470763871,360.952923612949
2022-09-30,10892,10343.9389230322,548.061076967809
2022-10-10,11176,10350.707837928,825.292162071957
