"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2015-09-21,3232.2,3706.00714247129,-473.807142471292
2015-09-22,3232.8,3698.13466112918,-465.334661129178
2015-09-23,3161,3690.35384161503,-529.353841615026
2015-09-24,3187,3682.66481866387,-495.664818663871
2015-09-25,3118,3675.06750819729,-557.067508197287
2015-09-28,3150,3667.56162124896,-517.561621248964
2015-09-29,3082.8,3660.14663858296,-577.346638582965
2015-09-30,3121.4,3652.82182702443,-531.421827024429
2015-10-08,3214.8,3645.58621474669,-430.786214746694
2015-10-09,3310,3638.43861025454,-328.438610254535
2015-10-12,3421,3631.37764398294,-210.377643982943
2015-10-13,3414.8,3624.40181060388,-209.601810603883
2015-10-14,3377,3617.50951782731,-240.509517827308
2015-10-15,3493.8,3610.69908672254,-116.899086722542
2015-10-16,3516.2,3603.96873894165,-87.7687389416481
2015-10-19,3381.4,3597.31664781553,-215.916647815526
2015-10-20,3466.6,3590.74095039495,-124.140950394949
2015-10-21,3342.8,3584.23969447933,-241.439694479331
2015-10-22,3405,3577.81087655326,-172.810876553255
2015-10-23,3476.8,3571.45239330004,-94.6523933000387
2015-10-26,3470.2,3565.16206996976,-94.9620699697574
2015-10-27,3478.6,3558.93769268696,-80.3376926869565
2015-10-28,3413,3552.77700832273,-139.777008322731
2015-10-29,3440,3546.67773053978,-106.677730539777
2015-10-30,3439.2,3540.63751522274,-101.43751522274
2015-11-02,3403,3534.65397415989,-131.653974159887
2015-11-03,3376.6,3528.72467720915,-152.124677209153
2015-11-04,3591.2,3522.84713980817,68.3528601918331
2015-11-05,3638.4,3517.01881451231,121.381185487689
2015-11-06,3753,3511.23718213138,241.762817868618
2015-11-09,3775.4,3505.49977364909,269.900226350914
2015-11-10,3776,3499.80421998428,276.195780015719
2015-11-11,3806,3494.14826362174,311.851736378256
2015-11-12,3756.8,3488.52976121433,268.270238785672
2015-11-13,3722.2,3482.94669832205,239.253301677948
2015-11-16,3734.4,3477.39717139692,257.002828603082
